Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
AHSP	0	0	0	0.590199385090934	0	0	0	0	0	0
ALAS2	0	0.0822385618822659	0	0	0	0	0	0	0	0
AQP9	0	1.60962104105694	0	0	3.02105296981996	135.590536545847	12.9004001011895	814.399546570703	598.736176230982	0.911413356033602
ARG1	0	0.150894780512399	0.361301176714788	0	0.167828205678165	0	0	0	38.6993715536801	0
AZU1	0	0.137666822375891	0.0855835385198669	0	9.29397716762223	1.56186253944266	5.45854105294962	4.27152671484	8.10505332750993	0
CA1	0	0.0736916647647521	0	0	0	0	0	0	0	0
CAMP	0	0.340018249463795	0	0	55.5931238157653	18.35494529493	1.91786577536068	6.44095506481701	135.59869171766	0
CEACAM3	0	0.249822831403981	0	0	0	0.100470927330584	5.66359028832709	2.35319429316767	336.764778679561	0
CEACAM4	0	0.436589502052908	0	0	0.167828205678165	1.69119896562495	0.233481095736122	5.37872981295467	125.324157315906	0
CEACAM8	0	0	0	0	0	0	0	0	0.395858792648819	0
CHTF8	3.78733885733921	0	4.08666903222627	6.83964898921387	5.9020020969419	4.09620463156627	5.53101702162108	2.50714772145714	4.44849831825527	3.72674467332217
CLC	0	0.0499779337536732	2.1524123913441	0.821420679922754	0	0	0	5.01429544291428	16.9617320498519	0.455706678016801
CMTM2	0	0.469250046166704	0	0.983665641818223	0.19205359063393	0	0.590112546264824	26.221307838154	1793.0044916092	0.455706678016801
CRIP1	638.577317912383	0.476805339351551	734.040294269894	1325.77297739532	167.288104531367	114.180080390977	245.634347382733	1089.86512834994	7.11406819896379	1043.3259067581
CXCR1	0	0.207733420365596	0	2.27988299640462	2.35523740079015	0.933596473664761	4.31940027111825	3.31684725416823	2440.60692747517	95.3677853686081
CXCR2	0	0.412471114356441	0	0	0	0	0	0	258.153170602672	16.8919879037314
DEFA1	0	0.0963905720697492	0	0	0	0	0	1.06788167871	239.339649367859	0
DEFA4	0	0	0	0	0	0	0	0	12.4344820623078	0
ELANE	0	0.102910140319283	0	0	0	0	0	1.45617684329337	6.21994697276588	0
FCAR	0	0.239659846104611	0	0	0	0	0	0	5.12893189384251	0
