Samples	CBSX__CCLE_TIL10__Cancer.cells	CBSX__CCLE_TIL10__B.cells	CBSX__CCLE_TIL10__Macrophages.M1	CBSX__CCLE_TIL10__Macrophages.M2	CBSX__CCLE_TIL10__Monocytes	CBSX__CCLE_TIL10__Neutrophils	CBSX__CCLE_TIL10__NK.cells	CBSX__CCLE_TIL10__T.cells.CD4	CBSX__CCLE_TIL10__T.cells.CD8	CBSX__CCLE_TIL10__Tregs	CBSX__CCLE_TIL10__Dendritic.cells
453W	0.0109413600963056	0.03823214142531017	0.0022537260744867	0.03212448925142678	0.35349277762293413	0.02359788375718159	0.14735406997013947	0.22885816691868513	0.16314538488353045	0	0
684C	0.02993859932178079	0.09000046721072957	0.00484553002226813	0.08854424179797435	0.2011367377342569	0.03189387411711581	0.11148022150685566	0.2754802135941983	0.1485891664820293	0	0.01809094821279119
CR3L	0.01712813032250323	0.11637365936074592	0.03081162433220812	0.01871740253323516	0.34290804545916637	0.05049394549924304	0.07993868707494169	0.2166320514203197	0.12699645399763687	0	0
FLWA	0.01189263993657678	0.09542915950755838	0.00118620346793492	0.04349019717323618	0.28509393232358915	0.02399306669678807	0.19312845440532825	0.2664815559652022	0.07930479052378596	0	0
FY2H	0.02031617160117173	0.07480140967011632	0.01133760849439157	0.02430973316677475	0.49854488354185206	0.02619632559291085	0.06509128145817095	0.12251989114833066	0.12824352388912558	0.00187806419064867	0.02676110724650684
CYFZ	0	0.0619979119429715	0.09390611010876794	0.04242261605222738	0.22845590020421813	0.01551601241219792	0.186515201677753	0.23310189415794683	0.13808435344391717	0	0
925L	0	0.1813688187295485	0.00169031546236937	0.03450004254594796	0.25848636707788236	0.02203560046663494	0.09396544868784518	0.29156754464298734	0.11638586238678432	0	0
9JD4	0.01314983439219704	0.0839728263286471	0.00440262983522012	0.03940121650353236	0.25177581727491494	0.01098599952877828	0.12453717057538229	0.24960703003050547	0.2155278996109845	0	0.00663957591983784
G4YW	0.00896080951361886	0.0644959267390348	0	0.05726152524196761	0.30866861566298553	0.01868273919389487	0.14149248933358907	0.29677976043962934	0.10365813387527988	0	0
4DUY	0.03298222803033562	0.07163080739098597	0	0.02510317230648279	0.2497311089265584	0.02815055369798325	0.07515398906939239	0.39591203032797223	0.08559185760435699	0	0.03574425264593233
CZJE	0.01646391557651211	0.08990658325549872	0.03921531096818962	0.06956640397706805	0.3112529421136898	0.02072422495779541	0.10385118950256392	0.18907485198533192	0.15991464082921752	2.993683413294e-5	0
36TS	0.01336014306269195	0.05002966589999903	0.02419255517935347	0.02024755757611403	0.4075441059241377	0.01272169197457571	0.0556823351630196	0.21079384924969768	0.1748748564460236	0	0.03055323952438731
