Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
453W	0.04049952109442435	0.00162067157091451	0.04007112576261828	0.3593578730380441	0.02951529409774599	0.11630056244532018	0.2425247583726245	0.17011019361830812	0	0
684C	0.07935127408711863	0.00213570851400897	0.07148140419655927	0.23894384476687863	0.02848895676418588	0.09079810069946792	0.3335935566399064	0.13204800838744343	0	0.0231591459444309
CR3L	0.11311800839798442	0.03061292248721544	0.04345938925972949	0.263046513232824	0.05096353595701374	0.07353948912292027	0.3023825241465166	0.12287761739579608	0	0
FLWA	0.0894084297563351	0.00175215140370828	0.04742198336008158	0.28311978347491795	0.02696413104669136	0.17795118614863822	0.29455845854513074	0.078823876264496745	0	0
FY2H	0.07492803223778786	0.01106061409440723	0.02540455675167059	0.514581596063563	0.03165615371360634	0.06690795322906111	0.14232907262284908	0.1331320212870549	0	0
CYFZ	0.0700231385493073	0.07341061715855139	0.0387731340502389	0.2101244503210884	0.01572843216437849	0.1577219920333324	0.29883787025577774	0.1279754458759369	0	0.00740491959138836
925L	0.1656493824039328	0	0.03618850275028726	0.25914621048912795	0.02706929946944833	0.09253918823497977	0.3029553145001935	0.1164521021520304	0	0
9JD4	0.08185977076159397	0	0.06083153790058858	0.2514380830584172	0.01704260079574501	0.11757761878556794	0.24688708404829304	0.22436330464979432	0	0
G4YW	0.05675433476587394	0	0.04435900661584333	0.35308344417151305	0.02345014853147615	0.1487500247489855	0.26616050637522554	0.10744253479108257	0	0
4DUY	0.07918821791324805	0	0.04235919503935604	0.2275020011974845	0.04017800070546064	0.06899823135276856	0.39886516572848824	0.09315694070758904	0	0.04975224735560495
CZJE	0.07528919660080774	0.02448745117045713	0.063647507324757	0.32258793588370505	0.01414022821596553	0.09421873023689926	0.2578599461401426	0.14776900442726562	0	0
36TS	0.04400417306907019	0.02917407924438242	0.03026346635557566	0.39748028337957825	0.02071256693548687	0.05351773462383901	0.24862622953564073	0.17335750748756806	0	0.00286395936885883
