Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
Mel53	0.02255881493197422	0.02582454925906023	0.05204058150216415	0	0.01318181213392528	0.1485214085125177	0.5914761476238035	0.08567524859289352	0.02802835752063161	0.03269307992302987
Mel58	0.01021496263597607	0	0.01106462543118014	0.00603083295244443	0.00270120055485308	0.04206561902481937	0.02256525165191936	0.8059014796258378	0.09008004417129162	0.00937598395167786
Mel59	0	0.2431425083621896	0.19241943590713848	0	0	0	0.564438055730672	0	0	0
Mel60	0.5178512802949734	0	0.01943062047826257	0.00572772417932556	0.00826850911679941	0.07153500607071296	0.21518352064567292	0.07803252534134876	0.07598228508529259	0.00798852878761182
Mel65	0.04344506448916992	0.01173234877239762	0	0	0.00895893929806406	0.10000541101518248	0.23145576172958007	0.5140656053458516	0.07343148289064381	0.01690538645911038
Mel67	0.18667786667884223	0	0	0.03166900501513802	0	0	0.5551186367095098	0.20154298257934788	0.02499150901716194	0
Mel71	0.01645786924904213	0.04807402262172378	0.01632532423858584	0.01377598272798526	0.01408171602562301	0.15193427544804228	0	0.4906120986285424	0.24466203797988903	0.00407667308056614
Mel72	0.1838640335924233	0.00323905017401793	0.00264844181829343	0.01343816744671434	0	0.03182953527952821	0.5577757112734326	0.07362638318286692	0.1335786772327232	0
Mel74	0.02666848758400683	0.01388284145843022	0.00258942201111607	0	0.01719671784436756	0.11681074235296483	0.2176074514760838	0.45601305184531216	0.10332748621481516	0.04590379921290345
Mel75	0	0.00152749901321434	0	0	0	0	0	0.9694958186954794	0.00691968365859816	0.02205699863270818
Mel78	0.05634116370486524	0.14438246357775256	0	0	0.02752037424446904	0.13696986647183215	0.26260422812242706	0	0.0382312413019594	0.3339506625766946
Mel79	0.11432208001644396	0	0.010725788602461	0	0	0	0	0.7797870879766248	0.07839477590832095	0.01677026749614943
Mel80	0.1195479227137572	0.01418818883676019	0	0	0.00164112087951194	0.06001531513427486	0.5385116891342698	0.1127947766935814	0.14132684040910845	0.01197414619873603
Mel81	0.00475889383345679	0.00736500476112433	0.00404606543519387	0	0.00610383666399983	0.03382133729718233	0.6508455732444194	0.2696860351501203	0.01394307051776493	0.00943018309673817
Mel82	0.01037337533284765	0.0869980173462691	0.00559176077964027	0.02886166938063588	0	0.04363373418407818	0.2518917717045932	0.09689829217883088	0.4757513790931049	0
Mel84	0.10069766682238124	0.13143174236212496	0	0.02782412592540138	0.02241417092864025	0.1639698182126522	0.22789335766657992	0.15657294669312605	0.1356237554041128	0.03357241598498122
Mel88	0.04290710016391162	0.08499442677437725	0.14729789366298723	0	8.4878530568384e-4	0.12971316617973744	0.3212902107677128	0.134668979318705	0.101159106521154	0.03712033130573075
Mel89	0.1834489896692401	0.01294077682775266	0.05461856804432703	0.0161340296896147	0.01574115608317131	0	0.19760716244530369	0.47150836865619017	0.04800094858440049	0
Mel94	0.3504454843546406	0.00552292949427912	0.04059335589155293	0.01183463382366968	0	0.01354968931172039	0.5089470101141641	0.06910689700997316	0	0
