Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
SimData1	0.02250563859430489	0.06415751834214409	0.281172073542906	0.220999098175975	0	0.10009235878795324	0	0.07796736749958554	0.18207228069332845	0.05103366436380291
SimData10	0.01693136888434738	0.06242492078349297	0.2389596285572896	0.2497561352485007	0.0079969185746937	0.09517621985065676	0	0.12580798755821226	0.18027907338976945	0.02266774715303715
SimData100	0.1498331413601991	0.04021001496852417	0.12044384034086349	0.13674797696067345	0.09063597084135544	0.1870451347396435	0.03972299652940806	0.19261434656896473	0.03286199001337559	0.00988458767699252
SimData1000	0.1172910871020036	0.02696247962804461	0.15369906525021265	0.17803276699603385	0.09099104998113852	0.1063983808081056	0.18139475476906303	0.1052279609975276	0	0.04000245446787033
SimData1001	0.11090931162652902	0.03784250509902261	0.107348635315707	0.1756690433826144	0.06449015985213463	0.11247996032605807	0.17896462625570053	0.08263583550081913	0.001999912556543	0.12766001008487152
SimData1002	0.09566606405179116	0.01275529757649616	0.20683803095477657	0.3116982915722309	0.05754137928199909	0.12281671543539743	0.05932667642571764	0.1277952798332891	0.0055622648683019	0
SimData1003	0.00809873729086761	0	0	0.9591900687796779	0	0.00396728455377256	0	0.00234220621268102	0.02640170316300081	0
SimData1004	0.17107809266371418	0.04378505103457177	0.08179013602067159	0.11831141921909938	0.03939009573771997	0.07944824840242198	0.16197877860418264	0.1477502620390985	0.10458928300296746	0.05187863327555249
SimData1005	0.19082658577781367	0.0356818609156726	0.06764539296369179	0.09462948280287184	0.04210090111922884	0.07753959292524892	0.16248774169912697	0.1823951303666756	0.07837863809798233	0.0683146733316876
SimData1006	0.18811300194883385	0.02919378153554308	0.06481308679640542	0.11689220402365395	0.05415751784066929	0.0956512326237774	0.1368234233467668	0.1316724834019443	0.0883213844853559	0.09436188399705016
SimData1007	0.17399824914176318	0.03506972870247717	0.06634912096426723	0.15704820885210788	0.02658301371168923	0.08495172643983075	0.07961654237209469	0.15841001864993826	0.1465669849293374	0.07140640623649414
SimData1008	0.18813543496935223	0.01634999321306471	0.05778642905673594	0.12527623330071613	0.05274834895547452	0.09508705759649796	0.07631416588637167	0.1506708225275389	0.14971746653671986	0.08791404795752802
SimData1009	0.16868861982414168	0.02039650203773969	0.06911738398160178	0.1268897165581614	0.04005337502022381	0.08306535399548018	0.17250800196355737	0.14270710766424094	0.09809118181356476	0.07848275714128825
SimData101	0.15982188986524362	0.06484542594230973	0.04598229496888387	0.19656767828685495	0.10302982687324304	0.1680562274777374	0.01521711331865937	0.24647954326706795	0	0
SimData1010	0.16309264328743403	0.04445723974254488	0.03921477686389403	0.1039363468609336	0.038541206280679	0.07001928115150492	0.21026308857795817	0.1684460379996761	0.0664396311945089	0.09558974804086616
SimData1011	0.18311995600864264	0.03135493759206467	0.05985139079506831	0.13839445503138165	0.04881368997340536	0.09656340463198222	0.13073757565527153	0.17533250875953713	0.09389064516017744	0.0419414363924691
SimData1012	0.16086234878335973	0.0364551073221091	0.05210298729659198	0.14074690152942945	0.03615336580816925	0.07297409539205402	0.15453144821492154	0.1650557730763027	0.1042352581509014	0.07688271442616096
SimData1013	0.1680840036893279	0.04365315280096258	0.06743834673429276	0.11442166290341473	0.04461107323845451	0.08521674741546306	0.1196039634939831	0.16464236248208894	0.11506801440473384	0.07726067283727855
SimData1014	0.1641423550858628	0.03483385778586488	0.0550617627824278	0.13188625443195268	0.04501453767476436	0.08573195875867387	0.1302891011550965	0.15728240158674084	0.110006935854835	0.0857508348837813
SimData1015	0.1632622321602493	0.04157010869002727	0.05872035611946651	0.13519640183456708	0.04525656719253704	0.08252512649818622	0.1483923883388473	0.16400949309811227	0.09175673949967145	0.06931058656833566
SimData1016	0.1698857081268988	0.03912464450902733	0.06413305691646147	0.12635062531824387	0.04543531295833069	0.07832046052432998	0.11667907712232845	0.17135543271495404	0.10724100895799392	0.08147467285143149
SimData1017	0.13365318696749157	0.01662068752732626	0.09845150935532204	0.17502459344248686	0.04525836592735476	0.0875003176890874	0.17747750144202137	0.15389661263871993	0.07385395057717475	0.03826327443301504
SimData1018	0.1446014907789109	0.0326925350633548	0.01547455293993035	0.16201040037453243	0.03599641606972318	0.06513721314811709	0.11587250399353044	0.2024497707942985	0.1421019455435976	0.08366317129400458
SimData1019	0.135012151047237	0.00789608393800738	0.00451622051254068	0.24306982700863752	0.06026580009456027	0.09747708050632664	0.08085506954439213	0.18098530932550397	0.09621206588689968	0.0937103921358947
SimData102	0	0.01451857535767239	0	0.5749820063370162	0.05862319401006907	0.07692194598473635	0	0.07854869439794772	0.1964055839125582	0
SimData1020	0.16775317198276246	0.09526430714325698	0	0.2128172502119781	0.10780586877784334	0.09612655159488648	0.16979285757619286	0.11456187736702866	0.03587811534605116	0
SimData1021	0.07329153095613337	0.19717880255009215	0.04619902461242113	0.16114037429552236	0.07374901883973821	0.24971395261223023	0.00497204601497195	0.02395718848129143	0.07635479405529706	0.09344326758230193
SimData1022	0.0620308177121901	0.23207323793539664	0.02466128587925455	0.16367561173246764	0.08343039345221034	0.24477927072229508	0	0.020790305159221822	0.07663102366842105	0.0919280537385428
SimData1023	0.07969545222759476	0.23209837008398976	0.04348616957283824	0.15951106433887613	0.07650491188318304	0.23603667716788643	0	8.5437558138356e-4	0.0764684176068863	0.09534456153736176
SimData1024	0.0779050356706748	0.2296777268132048	0.0418938230876215	0.14033011926150576	0.07953791097047135	0.26079710785763666	0.01406922077920788	0.00358657772757988	0.0820700954821854	0.07013238234991193
SimData1025	0.07307502688812859	0.23299299746787305	0.02483903061282837	0.15236121141993486	0.07855563607626263	0.2591876837548851	0.01286881480022525	0.0159133582241389	0.06606364605897895	0.08414259469674443
SimData1026	0.04729312390829952	0.161384974541842	0.08362124750586732	0.23934636883985455	0.07456277027287606	0.24843643006628888	0.059059946393608	0.02088743573924018	0.048328748595231	0.01707895413689248
SimData1027	0.06692841600022775	0.17848816039158888	0.02315236917593311	0.18108891364281887	0.08989294324782802	0.2093707109722228	0.03554682344743206	0	0.10608250741990682	0.10944915570204149
