Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
TCGA-OR-A5JJ-01A	0.3028057992888036	0.03188629924912823	0.50131444143058	0.02971211250311159	0	0.13428134752837648	0	0
TCGA-OR-A5LT-01A	0.11303862676858956	0	0.6540813518879155	0.02634257325842376	0	0.20653744808507124	0	0
TCGA-OR-A5LH-01A	0.02493861092201305	0.11757089291074536	0.31187134853397175	0.06825115309398472	0	0.47736799453928513	0	0
TCGA-OR-A5K0-01A	0.4233650914802835	0	0.3148200240242184	0	0	0.2618148844954983	0	0
TCGA-OR-A5K9-01A	0.2035129157031852	0.04935731231013334	0.6221362626971503	0	0	0.08903607485709994	0.03595743443243125	0
TCGA-OR-A5LD-01A	0	0	0.8566304066765911	0.038207833707304	0	0.10516175961610484	0	0
TCGA-OR-A5JK-01A	0.0048950638521925	0.06165310173879467	0.25917542376174446	0.1803922454597676	0	0.4595539106796031	0	0.03433025450789767
TCGA-OR-A5K4-01A	0.5593076380461539	0.02616608130010504	0.29818597842421657	0.00885468108781012	0	0.1074856211417142	0	0
TCGA-P6-A5OF-01A	0.0267714639201665	0.10075185146212924	0.7371985369762268	0	0	0.13527814764147733	0	0
TCGA-OR-A5JV-01A	0	0	0.16812790248655446	0	0	0.8189174371115975	0.01295466040184811	0
