Samples	CBSX__sigmatrix_HNSCC_Fig2cd__B_cells	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD8	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD4	CBSX__sigmatrix_HNSCC_Fig2cd__Macrophages	CBSX__sigmatrix_HNSCC_Fig2cd__Dendritic_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Mast_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Myocytes	CBSX__sigmatrix_HNSCC_Fig2cd__CAFs	CBSX__sigmatrix_HNSCC_Fig2cd__Endothelial_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells
TCGA-OR-A5JJ-01A	0.00508870209310733	0.00107985371795753	0	0.00787473179459215	0.04588432813297382	0	0	0.38025744240226034	0.55981494185910885	0
TCGA-OR-A5LT-01A	0	0	0	0.0349777554174046	0.11488757115304891	0	0	0.4032364546507285	0.446898218778818	0
TCGA-OR-A5LH-01A	0	0	0.00105682080951238	0.12097576497974534	0.03080741661081737	0	0.00181443155099269	0.23173299109165335	0.5905633137200831	0.02304926123719577
TCGA-OR-A5K0-01A	0	0.00327295211083041	0	0.05030539450631998	0.1314067994955412	0	0	0.2214811526153652	0.5935337012719432	0
TCGA-OR-A5K9-01A	0	0	0	0	0.0812618194692317	0	0	0.2955618431868824	0.6231763373438861	0
TCGA-OR-A5LD-01A	0	0	0	0	0.0659263389270509	0	0	0.3014832581553981	0.632590402917551	0
TCGA-OR-A5JK-01A	0.02568986925901415	0.01690212402484506	0.03697651345012457	0.10007152153767858	0.08123381944610844	0	0	0.4193402114925646	0.31978594078966444	0
TCGA-OR-A5K4-01A	0	0.01393569772720884	0	0.00700363572680204	0.09084288680886626	0	0	0.296291707976181	0.5919260717609419	0
TCGA-P6-A5OF-01A	0	0	0	0.02345974153970845	0.06446607341093881	0	0	0.461072724063508	0.4490581634545754	0.00194329753126938
TCGA-OR-A5JV-01A	0	0	0.06245494134636807	0.3657895494001217	0.2169493771846232	0	0	0.21442682329691964	0.1403793087719675	0
TCGA-OR-A5J5-01A	0	0	0	0.04848458236680613	0.08953906435987907	0	0	0.21058606098374433	0.6513902922895705	0
TCGA-PK-A5H8-01A	0	0	0	0.23256121060990256	0.15195087068984472	0	0	0.1729242935543994	0.44256362514585335	0
TCGA-OR-A5JG-01A	0	0	0	0.03860131432264853	0.06155116055540816	0	0	0.25717875695942277	0.6426687681625206	0
TCGA-OR-A5LA-01A	0	0	0	0.0874466242922953	0	0.03441105321887832	0	0.43233168776224806	0.4458106347265782	0
TCGA-OR-A5JY-01A	0	0	0	0.05161306385297505	0.07324751588811751	0	0	0.18369385290581156	0.6914455673530959	0
TCGA-OR-A5LM-01A	0	0	0	0.08540492065868306	0.0437263329189806	0	0	0.18638284563360416	0.6723668733714997	0.01211902741723249
TCGA-OR-A5LP-01A	0	0	0	0.13594660160687025	0	0	0	0.3764647321675949	0.487588666225535	0
TCGA-OR-A5JW-01A	0	0.00319830406399005	0	0.01782466889824436	0.11339300204650406	0	0	0.24493766522260232	0.6206463597686592	0
TCGA-OR-A5J7-01A	6.114771159378e-5	0.0014980661024666	0	0	0.03714567393624529	1.77995861576e-6	0	0.24926585413639393	0.7119550230962838	7.245505840095e-5
TCGA-PK-A5H9-01A	0	0	0	0.09026198629826326	0.03019773762372903	6.561131888645e-4	0	0.34992590423298175	0.5289582586561614	0
TCGA-OR-A5JI-01A	0	0.00262376686492064	0	0.0823825814164751	0.04557540037479509	0	0	0.45841299728169455	0.41100525406211463	0
TCGA-OR-A5L6-01A	0	0	0	0.04939372317594892	0.05697794073615568	0	0	0.3124209002074101	0.5812074358804853	0
TCGA-OR-A5KZ-01A	0	0	0	0.04101058181289517	0.03919422072259101	0	0	0.3035505710574068	0.616244626407107	0
TCGA-OR-A5KT-01A	0	0	0.01092313399424604	0.15205775775155156	0	0	0	0.4042585809493211	0.4327605273048813	0
TCGA-OR-A5JB-01A	0	0.06454503954126567	0	0.1719281170680925	0.04393141531303337	0	0	0.15331015812794851	0.154973232068209	0.4113120378814507
TCGA-OR-A5LR-01A	0	0	0.02191957065191768	0.08495499509048018	0.0079626356636932	0	0	0.49851185300326806	0.3866509455906408	0
TCGA-OR-A5JL-01A	0	0	0	0.09115825650262548	0.00487935209340367	0	0	0.10501687061490196	0.798945520789069	0
TCGA-OR-A5K2-01A	5.266487939387e-5	0.00495954901446411	0	0.06808483181311999	0.10987829580097326	0	0	0.21857998020638655	0.5984446782856623	0
TCGA-OR-A5JM-01A	0	0	0	0	0.14855475938192195	0	0	0.2239810977317311	0.6274641428863469	0
TCGA-OR-A5L8-01A	0	0	0	0	0.08192847166116005	0	0	0.4359374092964788	0.48213411904236114	0
