Gene.symbol	cell_type
ABCB4	B.cells.naive
ABCB9	Plasma.cells
ACAP1	T.cells.regulatory..Tregs.
ACHE	Macrophages.M1
ACP5	Dendritic.cells.resting
ADAM28	B.cells.naive
ADAMDEC1	Macrophages.M1
ADAMTS3	Mast.cells.resting
ADRB2	Mast.cells.resting
AIF1	Macrophages.M2
AIM2	B.cells.memory
ALOX15	Dendritic.cells.resting
ALOX5	Neutrophils
AMPD1	Plasma.cells
ANGPT4	Plasma.cells
ANKRD55	T.cells.CD4.naive
APOBEC3A	Neutrophils
APOBEC3G	NK.cells.activated
APOL3	Macrophages.M1
APOL6	Macrophages.M1
AQP9	Neutrophils
ARHGAP22	Dendritic.cells.activated
ARRB1	Macrophages.M1
ASGR1	Monocytes
ASGR2	Monocytes
ATHL1	T.cells.CD4.naive
ATP8B4	Mast.cells.activated
ATXN8OS	Plasma.cells
AZU1	Mast.cells.activated
BACH2	B.cells.naive
BANK1	B.cells.memory
BARX2	T.cells.regulatory..Tregs.
BCL11B	T.cells.CD4.naive
BCL2A1	Eosinophils
BCL7A	B.cells.naive
BEND5	B.cells.naive
BFSP1	T.cells.CD4.naive
BHLHE41	Macrophages.M0
BIRC3	Dendritic.cells.activated
BLK	B.cells.memory
BMP2K	Mast.cells.resting
BPI	Mast.cells.resting
BRAF	B.cells.naive
BRSK2	T.cells.gamma.delta
BST1	Neutrophils
BTNL8	Neutrophils
C11orf80	Plasma.cells
C1orf54	Dendritic.cells.resting
C3AR1	Eosinophils
C5AR1	Neutrophils
C5AR2	Neutrophils
CA8	T.cells.follicular.helper
CAMP	NK.cells.resting
CASP5	Macrophages.M1
CCDC102B	Macrophages.M0
CCL1	Mast.cells.activated
CCL13	Macrophages.M2
CCL14	Macrophages.M2
CCL17	Dendritic.cells.activated
CCL18	Macrophages.M2
CCL19	Macrophages.M1
CCL20	Mast.cells.activated
CCL22	Dendritic.cells.activated
CCL23	Macrophages.M2
CCL4	NK.cells.activated
CCL5	T.cells.gamma.delta
CCL7	Mast.cells.activated
CCL8	Macrophages.M1
CCND2	NK.cells.activated
CCR10	Plasma.cells
CCR2	Monocytes
CCR3	Eosinophils
CCR5	T.cells.gamma.delta
CCR6	T.cells.CD4.memory.resting
CCR7	Macrophages.M1
CD160	T.cells.gamma.delta
CD180	Macrophages.M2
CD19	B.cells.naive
CD1A	Dendritic.cells.resting
CD1B	Dendritic.cells.resting
CD1C	Dendritic.cells.resting
CD1D	Monocytes
CD1E	Dendritic.cells.resting
CD2	T.cells.follicular.helper
CD209	Macrophages.M2
CD22	B.cells.naive
CD244	Eosinophils
CD247	NK.cells.resting
CD27	Plasma.cells
CD28	T.cells.CD4.memory.activated
CD300A	NK.cells.resting
CD33	Monocytes
CD37	B.cells.naive
CD38	Plasma.cells
CD3D	T.cells.follicular.helper
CD3E	T.cells.CD4.memory.resting
CD3G	T.cells.CD8
CD4	Macrophages.M2
CD40	Macrophages.M1
CD40LG	T.cells.CD4.memory.resting
CD5	T.cells.regulatory..Tregs.
CD6	T.cells.CD4.memory.resting
CD68	Macrophages.M2
CD69	B.cells.naive
CD7	T.cells.regulatory..Tregs.
CD70	T.cells.regulatory..Tregs.
CD72	B.cells.naive
CD79A	B.cells.naive
CD79B	B.cells.naive
CD80	Dendritic.cells.activated
CD86	Dendritic.cells.activated
CD8A	T.cells.CD8
CD8B	T.cells.CD8
CD96	T.cells.gamma.delta
CDA	Neutrophils
CDC25A	T.cells.CD4.memory.activated
CDH12	T.cells.gamma.delta
CDHR1	NK.cells.resting
CDK6	NK.cells.activated
CEACAM3	Neutrophils
CEACAM8	Mast.cells.resting
CEMP1	T.cells.regulatory..Tregs.
CFP	Monocytes
CHI3L1	Macrophages.M0
CHI3L2	T.cells.follicular.helper
CHST15	Neutrophils
CHST7	Dendritic.cells.activated
CLC	Eosinophils
CLCA3P	T.cells.gamma.delta
CLEC10A	Macrophages.M2
CLEC2D	T.cells.regulatory..Tregs.
CLEC4A	Macrophages.M2
CLEC7A	Monocytes
CLIC2	Dendritic.cells.activated
CMA1	Mast.cells.activated
COL8A2	Macrophages.M0
COLQ	T.cells.gamma.delta
CPA3	Mast.cells.resting
CR2	B.cells.naive
CREB5	Neutrophils
CRISP3	T.cells.regulatory..Tregs.
CRTAM	T.cells.CD8
CRYBB1	Macrophages.M2
CSF1	Macrophages.M0
CSF2	Mast.cells.activated
CSF3R	Neutrophils
CST7	T.cells.gamma.delta
CTLA4	T.cells.regulatory..Tregs.
CTSG	Mast.cells.resting
CTSW	NK.cells.activated
CXCL10	Macrophages.M1
CXCL11	Macrophages.M1
CXCL13	T.cells.follicular.helper
CXCL3	Mast.cells.activated
CXCL5	Macrophages.M0
CXCL9	Macrophages.M1
CXCR1	Neutrophils
CXCR2	Neutrophils
CXCR5	T.cells.follicular.helper
CXCR6	T.cells.CD4.memory.activated
CXorf57	T.cells.gamma.delta
CYP27A1	Macrophages.M0
CYP27B1	Macrophages.M1
DACH1	Eosinophils
DAPK2	Eosinophils
DCSTAMP	Macrophages.M0
DEFA4	NK.cells.resting
DENND5B	Plasma.cells
DEPDC5	Eosinophils
DGKA	T.cells.follicular.helper
DHRS11	Dendritic.cells.resting
DHX58	Dendritic.cells.activated
DPEP2	Neutrophils
DPP4	T.cells.CD4.memory.resting
DSC1	T.cells.CD4.naive
DUSP2	T.cells.gamma.delta
EAF2	Plasma.cells
EBI3	Macrophages.M1
EFNA5	T.cells.regulatory..Tregs.
EGR2	Dendritic.cells.resting
ELANE	Mast.cells.resting
EMR1	Eosinophils
EMR2	Neutrophils
EMR3	Eosinophils
EPB41	T.cells.CD4.memory.resting
EPHA1	T.cells.CD4.naive
EPN2	Eosinophils
ETS1	T.cells.CD4.memory.resting
ETV3	Dendritic.cells.activated
FAIM3	B.cells.naive
FAM124B	Mast.cells.resting
FAM174B	Mast.cells.resting
FAM198B	Dendritic.cells.resting
FAM212B	Neutrophils
FAM65B	Neutrophils
FASLG	NK.cells.activated
FBXL8	T.cells.CD4.memory.resting
FCER1A	Mast.cells.resting
FCER2	Dendritic.cells.resting
FCGR2B	B.cells.memory
FCGR3B	Neutrophils
FCN1	Monocytes
FCRL2	B.cells.naive
FES	Macrophages.M2
FFAR2	Neutrophils
FLJ13197	T.cells.CD4.naive
FLT3LG	T.cells.CD4.naive
FLVCR2	Dendritic.cells.resting
FOSB	Eosinophils
FOXP3	T.cells.regulatory..Tregs.
FPR1	Neutrophils
FPR2	Neutrophils
FPR3	Dendritic.cells.resting
FRK	B.cells.naive
FRMD4A	Macrophages.M2
FRMD8	T.cells.regulatory..Tregs.
FZD2	Dendritic.cells.resting
FZD3	T.cells.follicular.helper
