Gene Symbol	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells
A2M	1.00	1.00	1.00	787.68	1.00	1.00	271.22	2841.84	2317.18	1.00
AAAS	1.00	1.00	1.00	1.00	1.00	1.00	181.45	1.00	1.00	64.02
AAED1	1.00	1.00	1.00	38.14	1.00	1.00	1.00	1.00	1.00	1.00
AAGAB	1.00	1.00	1.00	1.00	49.33	1.00	30.78	1.00	1.00	53.34
AAMDC	1.00	1.00	1.00	1.00	153.23	1.00	1.00	86.45	57.73	1.00
AAR2	71.40	1.00	1.00	1.00	1.00	78.74	9.18	1.00	1.00	45.41
AARS	120.50	1.00	1.00	1.00	1.00	87.87	24.98	1.00	1.00	71.78
AARSD1	1.00	1.00	1.00	1.00	1.00	1.00	77.20	1.00	1.00	78.44
AASDHPPT	1.00	1.00	1.00	1.00	37.20	1.00	110.77	1.00	86.65	25.09
AATF	55.79	1.00	1.00	59.07	176.11	1.00	77.81	117.60	1.00	118.94
ABCA1	1.00	1.00	1.00	42.72	1.00	76.70	1.00	24.48	1.00	19.63
ABCA8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	81.40	1.00	1.00
ABCB8	1.00	1.00	1.00	10.28	1.00	40.42	1.00	1.00	1.00	1.00
ABCC1	1.00	1.00	1.00	1.00	1.00	36.32	1.00	1.00	1.00	1.00
ABCC4	1.00	1.00	1.00	72.46	4.33	112.03	1.00	1.00	1.00	1.00
ABCC5	1.00	1.00	1.00	68.54	1.00	1.00	195.34	1.00	1.00	60.51
ABCD3	1.00	1.00	1.00	1.00	1.00	98.27	1.00	1.00	29.74	1.00
ABCD4	1.00	1.00	1.00	19.42	1.00	139.47	1.00	1.00	213.98	21.57
ABCE1	1.00	1.00	1.00	1.00	1.00	1.00	75.52	1.00	67.55	49.01
ABCF2	1.00	1.00	1.00	1.00	1.00	1.00	61.69	1.00	179.13	52.92
ABCG1	1.00	1.00	1.00	169.71	151.38	1.00	1.00	1.00	80.16	1.00
ABCG2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63.26	1.00
ABHD12	1.00	1.00	1.00	259.67	50.01	1.00	1.00	1.00	132.60	46.38
ABHD14A	76.62	1.00	1.00	76.36	1.00	120.73	1.00	1.00	1.00	1.00
