,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.21645462577183638,0.21645462577183638,0.2313294871282512,0.2313294871282512,0.8053690770938889
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.1908651749226195,0.1908651749226195,0.20398151745684884,0.4353110045851,0.8262439790502925
CIBERSORTx_CBSX_HNSCC_CAFs,0.1608910998797053,0.1608910998797053,0.17194761020217073,0.6072586147872707,1.1745570524446398
CIBERSORTx_CBSX_HNSCC_Macrophages,-0.11973668053300192,0.11973668053300192,0.1279650402451346,0.7352236550324054,0.8871540108847866
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.1069905537579372,0.1069905537579372,0.11434299378050766,0.849566648812913,1.112923741482612
CIBERSORTx_CBSX_HNSCC_B_cells,-0.10155514438278676,0.10155514438278676,0.10853406057521305,0.9581007093881261,0.9034313588039005
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.02034140058850576,0.02034140058850576,0.021739270984993665,0.9798399803731197,1.0205496968258598
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.018863697655067884,0.018863697655067884,0.020160019626880285,1.0,1.0190427412357057
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
