,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.5956597861215632,0.5956597861215632,0.42005293860078974,0.42005293860078974,0.5511987725677787
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.3078231664621781,0.3078231664621781,0.21707361929490707,0.6371265578956968,0.7350452871758669
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.2694663099199503,0.2694663099199503,0.1900247724842822,0.827151330379979,1.309265522222869
CIBERSORTx_CBSX_HNSCC_CAFs,0.24510958528279392,0.24510958528279392,0.17284866962002102,1.0,1.2777613293695131
CIBERSORTx_CBSX_HNSCC_B_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
