,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_M2,1.5620820838144818,1.5620820838144818,0.23436641940938366,0.23436641940938366,4.768739831909708
DeconRNASeq_BPRNACan3DProMet_NK,-1.3823049719375184,1.3823049719375184,0.2073936255729184,0.44176004498230204,0.250999339346991
DeconRNASeq_BPRNACan3DProMet_CD4,1.2911961150142575,1.2911961150142575,0.1937241412386224,0.6354841862209244,3.6371343860299077
DeconRNASeq_BPRNACan3DProMet_Neu,-0.6503222937429538,0.6503222937429538,0.09757086969108,0.7330550559120044,0.5218775517840154
DeconRNASeq_BPRNACan3DProMet_B,-0.5530994087330298,0.5530994087330298,0.08298406936827939,0.8160391252802838,0.57516437542531
DeconRNASeq_BPRNACan3DProMet_CD8,-0.35512240959453434,0.35512240959453434,0.05328066204143732,0.8693197873217211,0.7010876181047062
DeconRNASeq_BPRNACan3DProMet_M1,-0.24864369683243862,0.24864369683243862,0.037305166955779345,0.9066249542775004,0.7798577896890603
DeconRNASeq_BPRNACan3DProMet_cancer,0.1708404353898023,0.1708404353898023,0.0256319828180062,0.9322569370955066,1.1863014421915778
SEX,-0.170653250470061,0.170653250470061,0.0256038985964011,0.9578608356919077,0.8431138721303262
DeconRNASeq_BPRNACan3DProMet_M0,0.14766953125902887,0.14766953125902887,0.02215554461294936,0.980016380304857,1.1591297769039623
DeconRNASeq_BPRNACan3DProMet_Mono,-0.13319337460635708,0.13319337460635708,0.019983619695142705,0.9999999999999998,0.8752958157586065
