,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_NK,0.1595056042885381,0.1595056042885381,0.24648736844344382,0.24648736844344382,1.1729308356451467
EpiDISH_BPRNACan_M2,0.15083948314424822,0.15083948314424822,0.23309542898779928,0.4795827974312431,1.1628099924969022
EpiDISH_BPRNACan_CD8,0.09383036927712197,0.09383036927712197,0.14499804509286643,0.6245808425241095,1.0983734122377542
TMB,-0.08968106578558037,0.08968106578558037,0.13858603905041306,0.7631668815745225,0.9142227156828765
EpiDISH_BPRNACan_M1,0.06959466551540353,0.06959466551540353,0.10754610182575375,0.8707129834002763,1.0720735447958654
EpiDISH_BPRNACan_B,-0.05305173160178025,0.05305173160178025,0.08198195776391519,0.9526949411641914,0.9483309525341419
EpiDISH_BPRNACan_Mono,0.030081068959729087,0.030081068959729087,0.04648490917244962,0.999179850336641,1.0305380752168884
EpiDISH_BPRNACan_cancer,-0.0005307309193457344,0.0005307309193457344,0.0008201496633588828,0.9999999999999999,0.9994694098933963
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan_M0,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,0.9999999999999999,1.0
