,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Myocytes,-2.5446927329655655,2.5446927329655655,0.38726982922729253,0.38726982922729253,0.07849716786750463
EpiDISH_CBSX_HNSCC_Mast.cells,1.7324733789146514,1.7324733789146514,0.263660386537594,0.6509302157648865,5.6546226507453605
EpiDISH_CBSX_HNSCC_CAFs,0.5957072698385956,0.5957072698385956,0.09065906058960375,0.7415892763544902,1.814313700637695
EpiDISH_CBSX_HNSCC_Macrophages,-0.41450472290241125,0.41450472290241125,0.06308234042278582,0.804671616777276,0.6606674131265424
EpiDISH_CBSX_HNSCC_Malignant.cells,0.3608206590892001,0.3608206590892001,0.054912309536211706,0.8595839263134878,1.434506172164585
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.3468372878324518,0.3468372878324518,0.05278421849855163,0.9123681448120394,1.4145865362021572
EpiDISH_CBSX_HNSCC_Dendritic.cells,-0.21919770654718254,0.21919770654718254,0.0333590996200995,0.945727244432139,0.80316291188949
SEX,-0.1722261296257526,0.1722261296257526,0.02621062376002993,0.9719378681921689,0.8417887982586946
EpiDISH_CBSX_HNSCC_T.cells.CD8,-0.10220941776859042,0.10220941776859042,0.015554971825039845,0.9874928400172087,0.9028404610353554
EpiDISH_CBSX_HNSCC_B.cells,-0.06430796016634932,0.06430796016634932,0.009786852624267166,0.9972796926414759,0.9377161758304176
EpiDISH_CBSX_HNSCC_T.cells.CD4,0.01787473705473285,0.01787473705473285,0.002720307358524146,1.0,1.0180354462841743
