,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Dendritic.cells.resting,1.8394203026310667,1.8394203026310667,0.12353628507326081,0.12353628507326081,6.292889232131764
EpiDISH_CBSX_LM22_NK.cells.resting,-1.5550618985685138,1.5550618985685138,0.10443864827051276,0.22797493334377356,0.21117631072507098
EpiDISH_CBSX_LM22_Macrophages.M1,-1.514586359218763,1.514586359218763,0.10172029305802943,0.329695226401803,0.21989912528410435
EpiDISH_CBSX_LM22_NK.cells.activated,-1.1574237350041072,1.1574237350041072,0.07773309247130997,0.4074283188731129,0.3142948455771138
EpiDISH_CBSX_LM22_Plasma.cells,-0.9391718587969605,0.9391718587969605,0.06307519946103156,0.4705035183341445,0.39095146435079126
EpiDISH_CBSX_LM22_Macrophages.M0,0.7960456489034425,0.7960456489034425,0.05346277959072237,0.5239662979248668,2.216757735640743
EpiDISH_CBSX_LM22_B.cells.naive,0.7861546931231186,0.7861546931231186,0.05279849860438263,0.5767647965292495,2.1949399600993362
EpiDISH_CBSX_LM22_T.cells.CD8,0.7457667236805127,0.7457667236805127,0.05008602462578447,0.626850821155034,2.1080571128206196
EpiDISH_CBSX_LM22_Mast.cells.activated,0.6676763780096432,0.6676763780096432,0.04484144230250188,0.6716922634575359,1.949701683417266
EpiDISH_CBSX_LM22_Neutrophils,-0.6526408259339471,0.6526408259339471,0.0438316479423982,0.7155239113999341,0.520668963497278
EpiDISH_CBSX_LM22_B.cells.memory,-0.5609132436440911,0.5609132436440911,0.03767118274657969,0.7531950941465138,0.570687648927478
EpiDISH_CBSX_LM22_Eosinophils,-0.5167537544446291,0.5167537544446291,0.0347054118248218,0.7879005059713355,0.596453643610587
EpiDISH_CBSX_LM22_Monocytes,0.492051454909628,0.492051454909628,0.03304639440886961,0.8209469003802051,1.6356682802035123
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.4348265569321189,0.4348265569321189,0.02920314482652784,0.850150045206733,0.6473769403838555
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.42308298450221815,0.42308298450221815,0.02841444128258871,0.8785644864893217,0.6550242739930372
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.3714654731746975,0.3714654731746975,0.024947786279918657,0.9035122727692404,1.449857786250719
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.36506416313775614,0.36506416313775614,0.024517871452712073,0.9280301442219525,0.6941521104715801
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.3241464644264912,0.3241464644264912,0.02176982062098736,0.9497999648429398,1.3828498305952368
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.2718714652698469,0.2718714652698469,0.018259008443486387,0.9680589732864262,1.3124182991373687
EpiDISH_CBSX_LM22_Mast.cells.resting,-0.21861320489352312,0.21861320489352312,0.014682160005451557,0.9827411332918777,0.8036324991635472
SEX,-0.14878144798449638,0.14878144798449638,0.009992228174025833,0.9927333614659035,0.8617574331434315
EpiDISH_CBSX_LM22_Macrophages.M2,-0.10819819005866546,0.10819819005866546,0.007266638534096388,0.9999999999999999,0.8974497131923656
EpiDISH_CBSX_LM22_T.cells.follicular.helper,0.0,0.0,0.0,0.9999999999999999,1.0
