,coef,abs coef,% total,cum % total,coef OR
XCELL_Tregs,-2.236698311761438,2.236698311761438,0.07416354048670437,0.07416354048670437,0.10681057807000481
XCELL_Fibroblasts,1.578068802305036,1.578068802305036,0.05232496885929485,0.12648850934599923,4.845588979278915
XCELL_Endothelial_cells,1.39860965443019,1.39860965443019,0.0463745348158926,0.17286304416189183,4.049565755194289
XCELL_MSC,1.3169603534770693,1.3169603534770693,0.043667240226762626,0.21653028438865446,3.732059975557956
XCELL_Platelets,1.2947374907982097,1.2947374907982097,0.042930383509275256,0.2594606678979297,3.650037679888393
XCELL_Mesangial_cells,1.2470837032170938,1.2470837032170938,0.04135029844101512,0.30081096633894483,3.48017890941765
XCELL_Astrocytes,-1.2352014344537068,1.2352014344537068,0.040956310965872184,0.34176727730481704,0.2907761841264112
XCELL_CLP,-1.2218451604105685,1.2218451604105685,0.04051344901817852,0.3822807263229956,0.29468592217184775
XCELL_Skeletal_muscle,-1.1919859223465625,1.1919859223465625,0.039523388445674164,0.42180411476866975,0.30361770377039893
XCELL_NKT,-1.1666086487431861,1.1666086487431861,0.038681939043030314,0.46048605381170005,0.3114212914071285
XCELL_mv_Endothelial_cells,1.0879239776828769,1.0879239776828769,0.03607294445615253,0.49655899826785255,2.9681058181434636
XCELL_Eosinophils,-1.003588377325374,1.003588377325374,0.03327657863484579,0.5298355769026983,0.36656171658674963
XCELL_CD8+_naive_T-cells,0.9591487820946487,0.9591487820946487,0.03180306846014943,0.5616386453628478,2.609474296534153
XCELL_Th2_cells,0.9225971905306868,0.9225971905306868,0.03059110552954187,0.5922297508923897,2.5158159655892964
XCELL_GMP,0.8394824922636924,0.8394824922636924,0.027835221887321862,0.6200649727797116,2.315168549075031
XCELL_NK_cells,-0.8138636827169363,0.8138636827169363,0.026985763733286885,0.6470507365129985,0.4431425919591737
XCELL_Preadipocytes,0.7909740780520483,0.7909740780520483,0.026226799453945966,0.6732775359669445,2.2055437520163745
XCELL_CMP,0.7034316304701298,0.7034316304701298,0.02332410228579999,0.6966016382527445,2.0206750332596313
XCELL_DC,0.6709170489021514,0.6709170489021514,0.022245996904379103,0.7188476351571236,1.9560302738125903
XCELL_pDC,-0.6527395870158363,0.6527395870158363,0.02164327595472649,0.7404909111118501,0.520617544206291
XCELL_Myocytes,0.622311963373935,0.622311963373935,0.020634369082479054,0.7611252801943291,1.8632307873723262
XCELL_Basophils,0.6086467239768599,0.6086467239768599,0.020181262586195535,0.7813065427805247,1.8379424715800274
XCELL_CD4+_Tcm,-0.5758556902493605,0.5758556902493605,0.019093990715571583,0.8004005334960963,0.5622235736865879
XCELL_CD4+_Tem,-0.5122378261793682,0.5122378261793682,0.016984575237935298,0.8173851087340316,0.5991532765651321
XCELL_MEP,0.47646588115112604,0.47646588115112604,0.015798463512701807,0.8331835722467333,1.6103730836896328
