,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.6078322741953823,0.6078322741953823,0.1438997346818161,0.1438997346818161,1.8364461691499858
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.5723997447745496,0.5723997447745496,0.13551134893919833,0.2794110836210144,1.7725155366516832
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.5296013874617272,0.5296013874617272,0.1253791586564674,0.40479024227748184,0.58883964176787
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.4002576983905323,0.4002576983905323,0.09475800981281546,0.4995482520902973,0.6701473278941837
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.33434522389591637,0.33434522389591637,0.0791537255477973,0.5787019776380946,1.3970253468686062
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.31027682997046085,0.31027682997046085,0.07345571369958603,0.6521576913376806,1.3638026033139974
CIBERSORTx_CBSX_LM22_Neutrophils,-0.30048850417879136,0.30048850417879136,0.07113840094046188,0.7232960922781425,0.74045641626387
CIBERSORTx_CBSX_LM22_Eosinophils,-0.23298552567451145,0.23298552567451145,0.0551575767733729,0.7784536690515154,0.7921650394959551
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.18796183525479837,0.18796183525479837,0.04449855555840143,0.8229522246099168,1.2067874577348854
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,0.14606128096998575,0.14606128096998575,0.03457891341273372,0.8575311380226505,1.1572671043285507
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.14175584912568762,0.14175584912568762,0.03355963469656934,0.8910907727192198,1.152295280290102
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.13898210236802389,0.13898210236802389,0.032902970943347744,0.9239937436625675,1.149103533587414
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.11850503116836238,0.11850503116836238,0.028055177830366748,0.9520489214929342,0.8882473467236137
CIBERSORTx_CBSX_LM22_B_cells_naive,0.10752895465526145,0.10752895465526145,0.025456673991173052,0.9775055954841072,1.1135231019573102
CIBERSORTx_CBSX_LM22_Plasma_cells,-0.07392920567420819,0.07392920567420819,0.01750218527938244,0.9950077807634896,0.9287374408549649
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.02108712693959807,0.02108712693959807,0.004992219236510215,0.9999999999999998,0.9791336519344487
CIBERSORTx_CBSX_LM22_Monocytes,0.0,0.0,0.0,0.9999999999999998,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0,0.0,0.0,0.9999999999999998,1.0
CIBERSORTx_CBSX_LM22_B_cells_memory,0.0,0.0,0.0,0.9999999999999998,1.0
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.0,0.0,0.0,0.9999999999999998,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,0.0,0.0,0.0,0.9999999999999998,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,0.9999999999999998,1.0
SEX,0.0,0.0,0.0,0.9999999999999998,1.0
