,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Malignant.cells,-0.5778432481588295,0.5778432481588295,0.23611936129472252,0.23611936129472252,0.5611072315406467
EpiDISH_CBSX_HNSCC_Macrophages,0.4750050145509212,0.4750050145509212,0.19409741483511372,0.4302167761298362,1.6080222609750756
TMB,-0.40513498052515073,0.40513498052515073,0.16554699417973417,0.5957637703095704,0.6668867880540807
EpiDISH_CBSX_HNSCC_B.cells,-0.2937364438595832,0.2937364438595832,0.12002712108188215,0.7157908913914526,0.7454729395253288
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.20567269571234192,0.20567269571234192,0.08404235180059348,0.7998332431920461,1.2283510936129867
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.19393125934873526,0.19393125934873526,0.0792445446726379,0.8790777878646839,1.2140128280554496
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.1693590376320407,0.1693590376320407,0.06920379864709385,0.9482815865117777,0.8442057473345973
EpiDISH_CBSX_HNSCC_CAFs,0.10221809066346282,0.10221809066346282,0.04176854251931798,0.9900501290310957,1.1076250080614425
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.024349827679977898,0.024349827679977898,0.00994987096890436,1.0,1.0246487056794824
EpiDISH_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,1.0,1.0
