,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Myocytes,-2.5264385011258663,2.5264385011258663,0.3836105577998729,0.3836105577998729,0.07994323160569078
EpiDISH_CBSX_HNSCC_Mast.cells,1.727166695167491,1.727166695167491,0.26225034927678054,0.6458609070766534,5.624694835586271
EpiDISH_CBSX_HNSCC_CAFs,0.6283177870479505,0.6283177870479505,0.0954028117674882,0.7412637188441417,1.8744546936090827
EpiDISH_CBSX_HNSCC_Macrophages,-0.39420951214342714,0.39420951214342714,0.05985616937675935,0.801119888220901,0.6742127856761586
EpiDISH_CBSX_HNSCC_Malignant.cells,0.39231807931683244,0.39231807931683244,0.05956897710933323,0.8606888653302343,1.4804085238523674
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.3618379590195484,0.3618379590195484,0.05494092226301982,0.9156297875932541,1.435966237729993
EpiDISH_CBSX_HNSCC_Dendritic.cells,-0.20878803189164427,0.20878803189164427,0.03170205541919942,0.9473318430124535,0.8115672437861159
SEX,-0.17228729892133543,0.17228729892133543,0.02615983995319674,0.9734916829656503,0.8417373082056968
EpiDISH_CBSX_HNSCC_T.cells.CD8,-0.09686653229907101,0.09686653229907101,0.014708066106032949,0.9881997490716832,0.9076771436306673
EpiDISH_CBSX_HNSCC_B.cells,-0.039612047419319285,0.039612047419319285,0.0060146326931561625,0.9942143817648393,0.9611622522069505
EpiDISH_CBSX_HNSCC_T.cells.CD4,0.03810377051653345,0.03810377051653345,0.005785618235160649,1.0,1.0388390281479616
