,coef,abs coef,% total,cum % total,coef OR
XCELL_Fibroblasts,0.0004908775026332706,0.0004908775026332706,0.030390201513364128,0.030390201513364128,1.0004909980027108
XCELL_HSC,0.0004716371041661811,0.0004716371041661811,0.029199029411412836,0.05958923092477696,1.0004717483424326
XCELL_NKT,-0.00045974218420418664,0.00045974218420418664,0.02846261551448097,0.08805184643925792,0.9995403634810403
XCELL_Chondrocytes,0.00045329636840895314,0.00045329636840895314,0.02806355538260624,0.11611540182186417,1.0004533991227331
XCELL_Eosinophils,-0.0004202733061078943,0.0004202733061078943,0.02601909925549927,0.14213450107736345,0.9995798149963472
XCELL_Endothelial_cells,0.0004129477986316631,0.0004129477986316631,0.02556557745587294,0.16770007853323637,1.0004130330733114
XCELL_GMP,0.00040724358870415027,0.00040724358870415027,0.02521243010599091,0.1929125086392273,1.0004073265236322
XCELL_Preadipocytes,-0.00039171180606679083,0.00039171180606679083,0.02425085822363932,0.2171633668628666,0.9996083649029864
XCELL_Adipocytes,0.000381601171609729,0.000381601171609729,0.02362490935262816,0.24078827621549476,1.000381673990599
XCELL_Th2_cells,0.0003775990215000863,0.0003775990215000863,0.023377136440513997,0.26416541265600874,1.0003776703209846
XCELL_CD8+_T-cells,0.00037102560969179003,0.00037102560969179003,0.022970176845884347,0.2871355895018931,1.0003710944482067
XCELL_Keratinocytes,-0.0003606597196855748,0.0003606597196855748,0.02232842511665589,0.309464014618549,0.999639405310213
XCELL_CD8+_Tcm,0.0003587065897687481,0.0003587065897687481,0.022207506941682022,0.331671521560231,1.0003587709326707
TMB,-0.00035676777430352784,0.00035676777430352784,0.022087474973687578,0.35375899653391857,0.9996432958597511
XCELL_CD8+_Tem,0.00035161576753838094,0.00035161576753838094,0.02176851449383034,0.3755275110277489,1.0003516775916084
XCELL_iDC,0.0003496960512137383,0.0003496960512137383,0.02164966495266901,0.3971771759804179,1.0003497572020057
XCELL_CMP,0.00034793328419666943,0.00034793328419666943,0.021540532135250288,0.4187177081156682,1.0003479938200024
XCELL_Neutrophils,0.00034670410906144106,0.00034670410906144106,0.02146443396441455,0.44018214208008277,1.0003467642178776
XCELL_CLP,-0.0003439894597858276,0.0003439894597858276,0.02129637016421706,0.4614785122442998,0.999656069697805
XCELL_Sebocytes,-0.0003418296813545482,0.0003418296813545482,0.02116265839010091,0.4826411706344007,0.9996582287357546
XCELL_MPP,0.0003367579281670695,0.0003367579281670695,0.020848666405203053,0.5034898370396037,1.0003368146374838
XCELL_Erythrocytes,0.0003363665026536676,0.0003363665026536676,0.02082443327134391,0.5243142703109476,1.0003364230802092
XCELL_CD4+_naive_T-cells,0.0003363047367624443,0.0003363047367624443,0.020820609348123024,0.5451348796590706,1.0003363612935403
XCELL_Mesangial_cells,0.0003177737669003032,0.0003177737669003032,0.019673357935443645,0.5648082375945143,1.0003178242623323
XCELL_DC,0.000308596657298565,0.000308596657298565,0.019105203541300606,0.5839134411358149,1.0003086442781455
XCELL_Monocytes,0.00028867839948424094,0.00028867839948424094,0.0178720652012356,0.6017855063370505,1.0002887200711033
XCELL_Epithelial_cells,-0.000281403792882467,0.000281403792882467,0.01742169467218831,0.6192072010092389,0.9997186357974511
XCELL_mv_Endothelial_cells,0.00027818276457008967,0.00027818276457008967,0.017222280971278637,0.6364294819805175,1.0002782214609836
XCELL_Hepatocytes,-0.00027342130199672427,0.00027342130199672427,0.01692749906270333,0.6533569810432208,0.9997266160742009
XCELL_MSC,0.00027333794159390535,0.00027333794159390535,0.01692233822435504,0.6702793192675759,1.000273375301813
XCELL_Macrophages_M2,0.0002717462153033506,0.0002717462153033506,0.0168237945297172,0.687103113797293,1.000271783141651
XCELL_CD4+_T-cells,-0.0002701539657820609,0.0002701539657820609,0.01672521844189086,0.703828332239184,0.9997298825225147
XCELL_CD4+_Tcm,-0.00026927069386686555,0.00026927069386686555,0.016670535122020047,0.720498867361204,0.9997307655562326
XCELL_Macrophages,0.0002672793453953064,0.0002672793453953064,0.016547250838243807,0.7370461181994479,1.0002673150677022
XCELL_Astrocytes,0.0002564196967868094,0.0002564196967868094,0.015874930538767568,0.7529210487382154,1.0002564525751274
XCELL_Tregs,-0.0002516351207380269,0.0002516351207380269,0.01557871767609102,0.7684997664143064,0.9997483965367235
XCELL_Basophils,0.00025125781354275097,0.00025125781354275097,0.015555358606597375,0.7840551250209038,1.000251289381431
XCELL_Megakaryocytes,0.00022855305225515899,0.00022855305225515899,0.014149707976569944,0.7982048329974737,1.0002285791724939
XCELL_Plasma_cells,0.0002252047039498983,0.0002252047039498983,0.013942411901300784,0.8121472448987744,1.000225230064433
XCELL_Melanocytes,-0.0002161192686966685,0.0002161192686966685,0.01337993306146576,0.8255271779602402,0.9997839040833901
XCELL_Skeletal_muscle,-0.00021515911645073133,0.00021515911645073133,0.013320490084183218,0.8388476680444235,0.999784864028612
XCELL_Macrophages_M1,0.00020468750172307368,0.00020468750172307368,0.012672192942764665,0.8515198609871881,1.0002047084516392
XCELL_naive_B-cells,-0.00019971293602348737,0.00019971293602348737,0.012364217830356957,0.863884078817545,0.9998003070052773
XCELL_CD8+_naive_T-cells,0.00018910894245675452,0.00018910894245675452,0.01170772512166547,0.8755918039392105,1.00018912682468
XCELL_MEP,-0.00018104691496223277,0.00018104691496223277,0.011208605404729002,0.8868004093439396,0.9998189694730415
XCELL_Tgd_cells,0.00017779196619019846,0.00017779196619019846,0.011007091689867026,0.8978075010338066,1.0001778077721186
XCELL_pDC,-0.0001589229349386195,0.0001589229349386195,0.00983891091356069,0.9076464119473673,0.9998410896926421
XCELL_Pericytes,-0.00015204600837317214,0.00015204600837317214,0.009413160735572421,0.9170595726829397,0.9998479655500353
XCELL_ly_Endothelial_cells,0.00014727067930652495,0.00014727067930652495,0.009117520353095057,0.9261770930360348,1.0001472815241654
XCELL_pro_B-cells,0.00014400103666245984,0.00014400103666245984,0.008915096941354263,0.9350921899773891,1.0001440114053095
XCELL_Platelets,-0.00013938981226883354,0.00013938981226883354,0.008629616270934665,0.9437218062483237,0.9998606199020397
XCELL_aDC,0.00013919029760164306,0.00013919029760164306,0.008617264327917795,0.9523390705762415,1.0001391999850207
XCELL_Smooth_muscle,-0.00012619297569618364,0.00012619297569618364,0.007812600782079827,0.9601516713583212,0.9998738149863025
XCELL_Myocytes,-9.031267626061055e-05,9.031267626061055e-05,0.005591253247598206,0.9657429246059195,0.9999096914018064
XCELL_Osteoblast,-7.99971323050344e-05,7.99971323050344e-05,0.004952618439834097,0.9706955430457536,0.9999200060673802
XCELL_CD4+_memory_T-cells,-7.845855998059647e-05,7.845855998059647e-05,0.0048573655045666886,0.9755529085503203,0.9999215445178117
XCELL_cDC,7.844667130155035e-05,7.844667130155035e-05,0.004856629477044545,0.9804095380273649,1.0000784497483222
XCELL_Th1_cells,-7.093900255895232e-05,7.093900255895232e-05,0.004391830082574038,0.9848013681099389,0.9999290635135526
XCELL_Memory_B-cells,-5.392486432781681e-05,5.392486432781681e-05,0.0033384856399244975,0.9881398537498634,0.9999460765895916
XCELL_Neurons,4.4906870913143164e-05,4.4906870913143164e-05,0.002780182120924424,0.9909200358707878,1.0000449078792417
XCELL_Mast_cells,-4.4671593828594214e-05,4.4671593828594214e-05,0.0027656161284465384,0.9936856519992343,0.9999553294039322
XCELL_NK_cells,3.80242759497025e-05,3.80242759497025e-05,0.002354081012701319,0.9960397330119356,1.0000380249988816
XCELL_Class-switched_memory_B-cells,3.1903528108198295e-05,3.1903528108198295e-05,0.0019751458215019617,0.9980148788334375,1.0000319040370311
XCELL_B-cells,-3.083995370147952e-05,3.083995370147952e-05,0.0019092999834440952,0.9999241788168817,0.999969160521845
XCELL_CD4+_Tem,-1.2247010931945446e-06,1.2247010931945446e-06,7.58211831183174e-05,1.0,0.9999987752996568
