,coef,abs coef,% total,cum % total,coef OR
quanTIseq_T_cell_CD8+,-0.22658228970967947,0.22658228970967947,0.20788550380837548,0.20788550380837548,0.7972537338352746
quanTIseq_T_cell_CD4+_(non-regulatory),0.17157962173050284,0.17157962173050284,0.15742146551876918,0.3653069693271447,1.1871786641889157
quanTIseq_Monocyte,-0.1389272654980022,0.1389272654980022,0.1274634686487518,0.4927704379758965,0.8702913263624689
quanTIseq_NK_cell,0.11812006077119247,0.11812006077119247,0.10837320240146854,0.601143640377365,1.125379217153423
quanTIseq_uncharacterized_cell,0.10669973280278684,0.10669973280278684,0.09789524034887011,0.6990388807262351,1.1126001269963224
SEX,-0.0945047275580487,0.0945047275580487,0.08670652470610525,0.7857454054323404,0.9098234333727674
quanTIseq_Macrophage_M2,0.0784902060733514,0.0784902060733514,0.07201346607666846,0.8577588715090089,1.0816527614825948
quanTIseq_Myeloid_dendritic_cell,0.07406448684366146,0.07406448684366146,0.06795294187172128,0.9257118133807302,1.0768762476073668
quanTIseq_Neutrophil,-0.06945256364870338,0.06945256364870338,0.0637215786079029,0.9894333919886331,0.9329043859151348
quanTIseq_T_cell_regulatory_(Tregs),-0.011516946558655294,0.011516946558655294,0.010566608011367063,1.0000000000000002,0.9885491196003247
quanTIseq_B_cell,0.0,0.0,0.0,1.0000000000000002,1.0
quanTIseq_Macrophage_M1,0.0,0.0,0.0,1.0000000000000002,1.0
