,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_B_cells,-0.3412218768868053,0.3412218768868053,0.22598656961388694,0.22598656961388694,0.7109011581707123
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,-0.3031746794781906,0.3031746794781906,0.20078843254178033,0.42677500215566727,0.738470089533488
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.23877329748673815,0.23877329748673815,0.15813628043645125,0.5849112825921186,0.7875934115412426
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,0.21716426685273973,0.21716426685273973,0.14382491578945744,0.728736198381576,1.2425481948558172
CIBERSORTx_CBSX_HNSCC_Macrophages,0.16021903311129798,0.16021903311129798,0.1061108684179918,0.8348470667995678,1.1737679368809686
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.1460917699951044,0.1460917699951044,0.09675457579458402,0.9316016425941518,1.1573023888122556
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.05054566047716804,0.05054566047716804,0.03347569776099878,0.9650773403551506,1.0518448899981194
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.041491919103461825,0.041491919103461825,0.02747952901038282,0.9925568693655334,0.9593570877755184
CIBERSORTx_CBSX_HNSCC_CAFs,-0.011238539570496283,0.011238539570496283,0.0074431306344666295,1.0,0.9888243768983594
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.0,0.0,0.0,1.0,1.0
