,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_NK,-1.2215482815909908,1.2215482815909908,0.21481173337774354,0.21481173337774354,0.29477342116822497
DeconRNASeq_BPRNACan3DProMet_M2,1.1844066940052962,1.1844066940052962,0.20828031015860324,0.4230920435363468,3.268746878914657
DeconRNASeq_BPRNACan3DProMet_B,-1.1144269002078961,1.1144269002078961,0.1959742220296447,0.6190662655659915,0.3281032609388423
DeconRNASeq_BPRNACan3DProMet_CD4,0.8338200625151917,0.8338200625151917,0.14662894267326176,0.7656952082392533,2.3020961156065884
DeconRNASeq_BPRNACan3DProMet_CD8,0.4822640807836305,0.4822640807836305,0.08480711298945014,0.8505023212287034,1.6197374703681884
DeconRNASeq_BPRNACan3DProMet_M0,0.37571019078600454,0.37571019078600454,0.06606939614806594,0.9165717173767693,1.45602510312916
DeconRNASeq_BPRNACan3DProMet_Mono,0.20629887444810646,0.20629887444810646,0.03627807388534586,0.9528497912621152,1.2291205018162479
DeconRNASeq_BPRNACan3DProMet_cancer,-0.13917913809983284,0.13917913809983284,0.02447493263737889,0.9773247238994941,0.870072151424987
DeconRNASeq_BPRNACan3DProMet_Neu,0.12894521225461225,0.12894521225461225,0.02267527610050596,1.0,1.137627794396348
DeconRNASeq_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
