,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_M2,0.2950638435816572,0.2950638435816572,0.4572607554082856,0.4572607554082856,1.3432121114209852
DeconRNASeq_BPRNACan3DProMet_M0,0.17373712704537989,0.17373712704537989,0.26924061244138936,0.726501367849675,1.1897427735117339
DeconRNASeq_BPRNACan3DProMet_B,-0.0736900471209247,0.0736900471209247,0.11419754519418485,0.8406989130438598,0.9289595829202286
DeconRNASeq_BPRNACan3DProMet_Mono,-0.05279165338211056,0.05279165338211056,0.08181128196439212,0.9225101950082519,0.9485776248355907
DeconRNASeq_BPRNACan3DProMet_CD4,0.02668867191073436,0.02668867191073436,0.04135946353375888,0.9638696585420108,1.0270480040922196
DeconRNASeq_BPRNACan3DProMet_Neu,0.02278757479542183,0.02278757479542183,0.03531392914291025,0.999183587684921,1.0230491950287603
DeconRNASeq_BPRNACan3DProMet_cancer,-0.000526819222479603,0.000526819222479603,0.0008164123150790686,1.0,0.9994733195224014
DeconRNASeq_BPRNACan3DProMet_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACan3DProMet_NK,0.0,0.0,0.0,1.0,1.0
