,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,-0.08209264481161001,0.08209264481161001,1.0,1.0,0.9211866115828383
DeconRNASeq_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,1.0,1.0
