,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.4526079387673171,0.4526079387673171,0.6445043300871695,0.6445043300871695,1.5724075855931272
EpiDISH_BPRNACanProMet_B,-0.19036643365485414,0.19036643365485414,0.27107785852797545,0.915582188615145,0.8266561637981154
EpiDISH_BPRNACanProMet_M0,-0.032037691374682625,0.032037691374682625,0.04562100893151709,0.9612031975466621,0.9684700784226706
EpiDISH_BPRNACanProMet_M1,0.02724534183780136,0.02724534183780136,0.038796802453337983,1.0,1.0276198899908247
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
