,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.7774426137237888,0.7774426137237888,0.6052042066467553,0.6052042066467553,2.175900525846443
EpiDISH_BPRNACan_M0,-0.41955817991105776,0.41955817991105776,0.32660722596490055,0.9318114326116559,0.6573371804382816
EpiDISH_BPRNACan_CD8,-0.06504133741216879,0.06504133741216879,0.05063176408511176,0.9824431966967676,0.9370287282340507
EpiDISH_BPRNACan_B,-0.017298566314287386,0.017298566314287386,0.013466158038622885,0.9959093547353904,0.9828501948638331
EpiDISH_BPRNACan_M1,0.005254824588803619,0.005254824588803619,0.004090645264609381,0.9999999999999998,1.0052686553950745
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan_NK,0.0,0.0,0.0,0.9999999999999998,1.0
