,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Macrophages,0.20474611794085945,0.20474611794085945,0.6857731823972212,0.6857731823972212,1.2272134579294296
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.08512946896164424,0.08512946896164424,0.28513120264617203,0.9709043850433932,0.918393373267555
EpiDISH_CBSX_HNSCC_CAFs,0.008686857935509978,0.008686857935509978,0.029095614956606713,0.9999999999999999,1.0087246981774765
EpiDISH_CBSX_HNSCC_B.cells,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,0.9999999999999999,1.0
EpiDISH_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,0.9999999999999999,1.0
