,coef,abs coef,% total,cum % total,coef OR
XCELL_Endothelial_cells,0.04467581304489787,0.04467581304489787,0.3664534827233126,0.3664534827233126,1.045688806283212
XCELL_HSC,0.037102918816182974,0.037102918816182974,0.3043367964165868,0.6707902791398994,1.0377998244713806
XCELL_mv_Endothelial_cells,0.03625991461456497,0.03625991461456497,0.2974220520710761,0.9682123312109755,1.0369253235146922
XCELL_Chondrocytes,0.0038753621261770487,0.0038753621261770487,0.03178766878902466,1.0000000000000002,1.003882881051697
XCELL_aDC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_MSC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Neurons,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_naive_B-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Myocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_MPP,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_NK_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Monocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Mesangial_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_MEP,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Memory_B-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Melanocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Neutrophils,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_NKT,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Mast_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Osteoblast,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_pDC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Pericytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Plasma_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Platelets,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Preadipocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_pro_B-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Sebocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Skeletal_muscle,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Smooth_muscle,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Tgd_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Th1_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Th2_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Megakaryocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Macrophages_M1,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Macrophages_M2,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Adipocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Astrocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_B-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Basophils,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD4+_memory_T-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD4+_naive_T-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD4+_T-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD4+_Tcm,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD4+_Tem,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD8+_naive_T-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD8+_T-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD8+_Tcm,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CD8+_Tem,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_cDC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Class-switched_memory_B-cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CLP,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_CMP,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_DC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Eosinophils,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Epithelial_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Erythrocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Fibroblasts,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_GMP,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Hepatocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_iDC,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Keratinocytes,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_ly_Endothelial_cells,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Macrophages,0.0,0.0,0.0,1.0000000000000002,1.0
XCELL_Tregs,0.0,0.0,0.0,1.0000000000000002,1.0
