,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_HNSCC_Myocytes,-0.8725304097303832,0.8725304097303832,0.33899167617345005,0.33899167617345005,0.41789277030807354
CIBERSORTx_CBSX_HNSCC_Dendritic_cells,-0.4872910602683601,0.4872910602683601,0.18932017894454012,0.5283118551179902,0.6142882120302176
CIBERSORTx_CBSX_HNSCC_Macrophages,0.41449821042080026,0.41449821042080026,0.16103902116702304,0.6893508762850132,1.5136110358572494
CIBERSORTx_CBSX_HNSCC_Mast_cells,0.24382120217889747,0.24382120217889747,0.09472834080223112,0.7840792170872444,1.2761161433044803
CIBERSORTx_CBSX_HNSCC_T_cells_CD8,-0.23884758817638765,0.23884758817638765,0.09279601417092033,0.8768752312581647,0.787534902856888
CIBERSORTx_CBSX_HNSCC_CAFs,-0.17321399797783008,0.17321399797783008,0.06729634045574805,0.9441715717139127,0.840957632354601
CIBERSORTx_CBSX_HNSCC_Endothelial_cells,-0.06267129273951842,0.06267129273951842,0.024348774938733834,0.9685203466526466,0.9392521619573747
CIBERSORTx_CBSX_HNSCC_B_cells,-0.056542124176820314,0.056542124176820314,0.021967497333451654,0.9904878439860982,0.94502667518592
CIBERSORTx_CBSX_HNSCC_T_cells_CD4,0.022698298426809968,0.022698298426809968,0.008818643045767481,0.9993064870318658,1.0229578649885847
CIBERSORTx_CBSX_HNSCC_Malignant_cells,0.0017850324853699914,0.0017850324853699914,0.0006935129681343891,1.0000000000000002,1.0017866266042337
