,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_Plasma_cells,0.2045726795981967,0.2045726795981967,0.7903318486173794,0.7903318486173794,1.2270006305179433
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.05427134896534883,0.05427134896534883,0.20966815138262057,1.0,0.9471750566566427
CIBERSORTx_CBSX_LM22_Monocytes,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Mast_cells_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M1,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_B_cells_memory,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD8,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Neutrophils,0.0,0.0,0.0,1.0,1.0
