,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.5072902713595124,0.5072902713595124,0.19929896671317437,0.19929896671317437,0.6021249654815234
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.3966675610711301,0.3966675610711301,0.15583865789155907,0.3551376246047334,1.4868615572180126
CIBERSORTx_CBSX_LM22_Monocytes,0.24829249607425333,0.24829249607425333,0.09754659354617187,0.4526842181509053,1.2818348090158276
CIBERSORTx_CBSX_LM22_Neutrophils,-0.23899502226503172,0.23899502226503172,0.09389389798342279,0.5465781161343282,0.7874188019250377
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.22181242710465943,0.22181242710465943,0.08714337731655573,0.6337214934508839,1.2483372016791372
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.1658446045982152,0.1658446045982152,0.06515531678303192,0.6988768102339158,1.1803896603451398
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.16252357588673144,0.16252357588673144,0.06385058529498328,0.7627273955288991,0.8499960505785622
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.15127971029945292,0.15127971029945292,0.05943321141670851,0.8221606069456077,0.859607224035112
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.10458467158347205,0.10458467158347205,0.04108814648615836,0.863248753431766,1.1102493964609335
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.10330395484545671,0.10330395484545671,0.04058499171077763,0.9038337451425437,0.9018528092855883
CIBERSORTx_CBSX_LM22_Plasma_cells,0.09351177618763823,0.09351177618763823,0.0367379416123322,0.9405716867548759,1.0980235337963289
CIBERSORTx_CBSX_LM22_Eosinophils,-0.08042736614000591,0.08042736614000591,0.03159747362039522,0.9721691603752711,0.9227219220047201
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.06135201360839526,0.06135201360839526,0.024103345970260755,0.9962725063455319,0.9404921154760632
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0049286172898808924,0.0049286172898808924,0.001936304298849489,0.9982088106443814,1.0049407829024137
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),0.004559245585933035,0.004559245585933035,0.0017911893556186499,1.0,1.0045696547594034
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_B_cells_memory,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_NK_cells_resting,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,0.0,0.0,0.0,1.0,1.0
CIBERSORTx_CBSX_LM22_B_cells_naive,0.0,0.0,0.0,1.0,1.0
