,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_NK,-1.2214148872632609,1.2214148872632609,0.21382422077609142,0.21382422077609142,0.294812744893297
DeconRNASeq_BPRNACan3DProMet_M2,1.1820435843557031,1.1820435843557031,0.20693177312956665,0.4207559939056581,3.2610315912487478
DeconRNASeq_BPRNACan3DProMet_B,-1.114621313072541,1.114621313072541,0.19512864646850356,0.6158846403741617,0.3280394796441368
DeconRNASeq_BPRNACan3DProMet_CD4,0.8339347869311295,0.8339347869311295,0.14599089781291566,0.7618755381870773,2.302360237389203
DeconRNASeq_BPRNACan3DProMet_CD8,0.5061458253433138,0.5061458253433138,0.08860726836693526,0.8504828065540125,1.6588852246204382
DeconRNASeq_BPRNACan3DProMet_M0,0.37622174942349146,0.37622174942349146,0.06586240535330645,0.916345211907319,1.4567701358947893
DeconRNASeq_BPRNACan3DProMet_Mono,0.2069587481251533,0.2069587481251533,0.0362307627916755,0.9525759746989945,1.2299318337401648
DeconRNASeq_BPRNACan3DProMet_cancer,-0.14124026013246796,0.14124026013246796,0.02472590507939998,0.9773018797783944,0.8682806734053279
DeconRNASeq_BPRNACan3DProMet_Neu,0.1296570699565024,0.1296570699565024,0.022698120221605562,1.0,1.1384379118136247
DeconRNASeq_BPRNACan3DProMet_M1,0.0,0.0,0.0,1.0,1.0
