,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_Neu,-1.4264372990667489,1.4264372990667489,0.3249257432290483,0.3249257432290483,0.24016302892428196
DeconRNASeq_BPRNACan3DProMet_M2,0.9639220492528735,0.9639220492528735,0.21957017562094833,0.5444959188499967,2.62195978908394
DeconRNASeq_BPRNACan3DProMet_NK,-0.6723314397628181,0.6723314397628181,0.15314924315573947,0.6976451620057362,0.5105169497056299
DeconRNASeq_BPRNACan3DProMet_CD4,0.5280987974462487,0.5280987974462487,0.1202947331585161,0.8179398951642524,1.6957053626856806
DeconRNASeq_BPRNACan3DProMet_B,-0.46014564272841496,0.46014564272841496,0.10481579881215797,0.9227556939764103,0.6311917103293981
DeconRNASeq_BPRNACan3DProMet_M0,0.15862053915660007,0.15862053915660007,0.036131904718539526,0.9588875986949499,1.1718931747268277
DeconRNASeq_BPRNACan3DProMet_CD8,-0.10058185661523614,0.10058185661523614,0.02291137124460026,0.9817989699395502,0.9043110855384344
DeconRNASeq_BPRNACan3DProMet_cancer,-0.04781731352994715,0.04781731352994715,0.010892225089809195,0.9926911950293594,0.9533079276306312
DeconRNASeq_BPRNACan3DProMet_Mono,-0.031574109136387536,0.031574109136387536,0.007192212994323652,0.999883408023683,0.9689191480316525
DeconRNASeq_BPRNACan3DProMet_M1,0.0005118435435060962,0.0005118435435060962,0.00011659197631716279,1.0000000000000002,1.0005119745577646
