,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Myocytes,-0.15610326357841225,0.15610326357841225,0.5009820268725843,0.5009820268725843,0.855470846828891
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,0.148795895244138,0.148795895244138,0.477530497959671,0.9785125248322553,1.1604361145064364
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.00669537991349565,0.00669537991349565,0.0214874751677447,1.0,1.0067178440769728
DeconRNASeq_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Macrophages,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_CAFs,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,1.0,1.0
