,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Mast.cells,3.2303900588632812,3.2303900588632812,0.3513357848181475,0.3513357848181475,25.289519448573486
DeconRNASeq_CBSX_HNSCC_Myocytes,-2.789847678989091,2.789847678989091,0.3034225916871555,0.654758376505303,0.06143057036896908
DeconRNASeq_CBSX_HNSCC_B.cells,0.7187806116572213,0.7187806116572213,0.07817425936405961,0.7329326358693626,2.0519295854916955
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.6825579170697954,0.6825579170697954,0.07423469522499106,0.8071673310943537,1.9789332107663564
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,-0.5242955627073727,0.5242955627073727,0.05702215201382993,0.8641894831081836,0.5919722248349203
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,-0.4897682220018022,0.4897682220018022,0.053266973808277954,0.9174564569164615,0.6127684039604383
DeconRNASeq_CBSX_HNSCC_Macrophages,-0.302651629882437,0.302651629882437,0.03291625654291854,0.95037271345938,0.7388564470485574
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.2794847320241549,0.2794847320241549,0.030396635044422016,0.980769348503802,1.322448221533291
DeconRNASeq_CBSX_HNSCC_CAFs,-0.10492057539712178,0.10492057539712178,0.011411115075586453,0.9921804635793885,0.9003960333437527
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,-0.0718974662120946,0.0718974662120946,0.007819536420611421,0.9999999999999999,0.9306263115603017
