,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M2,1.2459487760468961,1.2459487760468961,0.49021849013858604,0.49021849013858604,3.4762314003075936
EpiDISH_BPRNACan3DProMet_M0,-0.7826981447013015,0.7826981447013015,0.3079525499813186,0.7981710401199047,0.4571708326494882
EpiDISH_BPRNACan3DProMet_cancer,0.13163605205888457,0.13163605205888457,0.05179219878753816,0.8499632389074429,1.1406930908092026
EpiDISH_BPRNACan3DProMet_M1,0.13133902958462212,0.13133902958462212,0.05167533530834109,0.901638574215784,1.1403543296373277
EpiDISH_BPRNACan3DProMet_NK,0.10732449996845736,0.10732449996845736,0.042226819706298754,0.9438653939220827,1.1132954602122542
EpiDISH_BPRNACan3DProMet_B,-0.0610710248060977,0.0610710248060977,0.02402839197502812,0.9678937858971108,0.9407564203607786
EpiDISH_BPRNACan3DProMet_Neu,-0.043077823371999155,0.043077823371999155,0.01694896767656785,0.9848427535736787,0.9578368450732883
EpiDISH_BPRNACan3DProMet_CD4,-0.038523950061078484,0.038523950061078484,0.015157246426321274,1.0,0.9622086595076859
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,1.0,1.0
