,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_M2,0.5483041526244425,0.5483041526244425,0.4135051869763222,0.4135051869763222,1.7303161762073167
EpiDISH_BPRNACanProMet_B,-0.3058295997718257,0.3058295997718257,0.2306422908366372,0.6441474778129594,0.7365121105956357
EpiDISH_BPRNACanProMet_M0,-0.2239659679601136,0.2239659679601136,0.16890459248648648,0.8130520702994459,0.7993423371567804
EpiDISH_BPRNACanProMet_M1,0.13138058847286474,0.13138058847286474,0.09908105663890861,0.9121331269383546,1.14040172248026
EpiDISH_BPRNACanProMet_CD8,0.08098997614688883,0.08098997614688883,0.06107882836474841,0.973211955303103,1.0843600270466525
EpiDISH_BPRNACanProMet_CD4,-0.022736946677447262,0.022736946677447262,0.017147135111282356,0.9903590904143854,0.9775195897314455
EpiDISH_BPRNACanProMet_NK,0.012783759254686411,0.012783759254686411,0.00964090958561481,1.0000000000000002,1.0128658208172727
EpiDISH_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0000000000000002,1.0
