,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.7886982155748482,0.7886982155748482,0.23650053009823513,0.23650053009823513,2.200529945280751
EpiDISH_BPRNACan_B,-0.6999072133331912,0.6999072133331912,0.20987549319131107,0.4463760232895462,0.4966313824242429
EpiDISH_BPRNACan_M0,-0.5530627585918113,0.5530627585918113,0.1658424388461706,0.6122184621357167,0.5751854556671877
EpiDISH_BPRNACan_NK,0.5312316412146859,0.5312316412146859,0.15929611893524773,0.7715145810709645,1.7010260727892537
EpiDISH_BPRNACan_M1,0.38595111667002374,0.38595111667002374,0.11573202763992316,0.8872466087108877,1.4710127610549653
EpiDISH_BPRNACan_CD8,0.2779191363540429,0.2779191363540429,0.08333735486426644,0.9705839635751541,1.3203794221979195
EpiDISH_BPRNACan_Mono,0.09809861917824872,0.09809861917824872,0.029416036424845922,1.0,1.1030715637557562
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,1.0,1.0
