,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_Monocytes,0.3433589914939839,0.3433589914939839,0.15762870791870448,0.15762870791870448,1.4096747323396737
EpiDISH_CBSX_LM22_Macrophages.M2,0.3230201147085449,0.3230201147085449,0.1482915682263465,0.305920276145051,1.3812931349350195
EpiDISH_CBSX_LM22_Neutrophils,-0.29567015995473866,0.29567015995473866,0.13573579384362428,0.4416560699886753,0.7440327993635255
EpiDISH_CBSX_LM22_T.cells.CD8,-0.2525381009273003,0.2525381009273003,0.11593479575475514,0.5575908657434304,0.7768266144610916
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.16654263633072805,0.16654263633072805,0.07645613258579052,0.634046998329221,0.8465867208145235
EpiDISH_CBSX_LM22_Macrophages.M1,-0.14964803791136025,0.14964803791136025,0.06870018681002076,0.7027471851392417,0.8610109663194995
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.12555349186556333,0.12555349186556333,0.05763890035714146,0.7603860854963832,1.1337758151219555
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,-0.11474348528776053,0.11474348528776053,0.05267625947205019,0.8130623449684334,0.8915948217650992
EpiDISH_CBSX_LM22_B.cells.memory,-0.10933164738980174,0.10933164738980174,0.050191801407885386,0.8632541463763188,0.8964330685061503
EpiDISH_CBSX_LM22_Mast.cells.activated,-0.09914848939014861,0.09914848939014861,0.04551693318604805,0.9087710795623669,0.9056082248261136
EpiDISH_CBSX_LM22_NK.cells.activated,0.0841262307330857,0.0841262307330857,0.03862053821520341,0.9473916177775703,1.0877661946670285
EpiDISH_CBSX_LM22_Mast.cells.resting,0.06273005382054525,0.06273005382054525,0.028798014836831764,0.9761896326144021,1.0647393781063001
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.036843375086145186,0.036843375086145186,0.01691399891677224,0.9931036315311743,0.9638270828614984
EpiDISH_CBSX_LM22_B.cells.naive,0.015022200928324375,0.015022200928324375,0.006896368468825793,1.0,1.0151356013182746
EpiDISH_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Macrophages.M0,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.naive,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Plasma.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
