,coef,abs coef,% total,cum % total,coef OR
MCP_CD8_T_cells,-1.7832912274145152,1.7832912274145152,0.21737678027311494,0.21737678027311494,0.16808403313317719
MCP_Myeloid_dendritic_cells,1.3954255882130833,1.3954255882130833,0.17009735527957578,0.3874741355526907,4.036692175720295
MCP_Cytotoxic_lymphocytes,1.1878500682539683,1.1878500682539683,0.1447946467266661,0.5322687822793568,3.2800217984863993
MCP_NK_cells,-1.1293703458614626,1.1293703458614626,0.1376661791104265,0.6699349613897834,0.3232367196980691
MCP_B_lineage,0.9918519448043835,0.9918519448043835,0.12090318112639266,0.790838142516176,2.6962231079608148
MCP_T_cells,-0.8111920461228672,0.8111920461228672,0.09888138990343455,0.8897195324196105,0.4443280908301867
MCP_Fibroblasts,0.4258945090348324,0.4258945090348324,0.051915007311630415,0.941634539731241,1.53095926424401
MCP_Monocytic_lineage,0.23740886738413663,0.23740886738413663,0.028939286195599493,0.9705738259268405,1.2679594390647697
MCP_Endothelial_cells,-0.23053002794399374,0.23053002794399374,0.028100780433597893,0.9986746063604384,0.7941125890758621
MCP_Neutrophils,-0.0108731155523218,0.0108731155523218,0.0013253936395616268,1.0,0.989185783104667
