,coef,abs coef,% total,cum % total,coef OR
CIBERSORTx_CBSX_LM22_B_cells_memory,-0.0007324003259903535,0.0007324003259903535,0.09386709293387156,0.09386709293387156,0.9992678678136625
CIBERSORTx_CBSX_LM22_Dendritic_cells_resting,0.0006134525438637792,0.0006134525438637792,0.07862231200882851,0.17248940494270007,1.0006136407443575
CIBERSORTx_CBSX_LM22_Macrophages_M0,0.0005770989951562641,0.0005770989951562641,0.07396310881911107,0.24645251376181115,1.0005772655488192
CIBERSORTx_CBSX_LM22_T_cells_follicular_helper,-0.0005325485118581358,0.0005325485118581358,0.0682533566417897,0.3147058704036009,0.9994675932669315
CIBERSORTx_CBSX_LM22_T_cells_CD4_naive,-0.000511366777067931,0.000511366777067931,0.06553862837434357,0.3802444987779444,0.9994887639486385
CIBERSORTx_CBSX_LM22_NK_cells_activated,0.0004960583620150868,0.0004960583620150868,0.06357664615308697,0.4438211449310314,1.0004961814193114
CIBERSORTx_CBSX_LM22_T_cells_gamma_delta,0.0004877501724970941,0.0004877501724970941,0.06251183832883717,0.5063329832598686,1.000487869141954
CIBERSORTx_CBSX_LM22_Neutrophils,-0.000477278902369754,0.000477278902369754,0.061169802216483424,0.567502785476352,0.9995228349770874
CIBERSORTx_CBSX_LM22_Dendritic_cells_activated,-0.00044854719166771196,0.00044854719166771196,0.05748744154171058,0.6249902270180626,0.9995515533905847
CIBERSORTx_CBSX_LM22_B_cells_naive,-0.0004260815038250744,0.0004260815038250744,0.054608157175340725,0.6795983841934033,0.999574009256008
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_activated,-0.0004247246097779938,0.0004247246097779938,0.054434252692916435,0.7340326368863198,0.999575365572951
CIBERSORTx_CBSX_LM22_T_cells_regulatory_(Tregs),-0.0003923372502215948,0.0003923372502215948,0.05028337074832912,0.7843160076346489,0.999607739703973
CIBERSORTx_CBSX_LM22_Macrophages_M2,0.000347753592106655,0.000347753592106655,0.044569366765673704,0.8288853744003226,1.0003478140653967
CIBERSORTx_CBSX_LM22_Monocytes,0.00028533566459733447,0.00028533566459733447,0.03656965787104083,0.8654550322713634,1.0002853763766901
CIBERSORTx_CBSX_LM22_T_cells_CD8,-0.0002660347127402706,0.0002660347127402706,0.034095977593483096,0.8995510098648465,0.9997340006713561
CIBERSORTx_CBSX_LM22_Mast_cells_activated,-0.00017463987849708094,0.00017463987849708094,0.022382482807717163,0.9219334926725636,0.9998253753701588
CIBERSORTx_CBSX_LM22_Macrophages_M1,-0.00016958750948767385,0.00016958750948767385,0.021734952796447788,0.9436684454690114,0.9998304268696612
CIBERSORTx_CBSX_LM22_Mast_cells_resting,0.00013746160963173622,0.00013746160963173622,0.017617580479219647,0.9612860259482311,1.0001374710579116
CIBERSORTx_CBSX_LM22_Plasma_cells,0.00010420909583526429,0.00010420909583526429,0.013355817216624665,0.9746418431648558,1.0001042145257917
CIBERSORTx_CBSX_LM22_T_cells_CD4_memory_resting,-0.00010342286722670774,0.00010342286722670774,0.013255051294972661,0.9878968944598284,0.9998965824807337
CIBERSORTx_CBSX_LM22_NK_cells_resting,4.99032675688653e-05,4.99032675688653e-05,0.006395784502493837,0.9942926789623222,1.0000499045127575
CIBERSORTx_CBSX_LM22_Eosinophils,-4.453151427062592e-05,4.453151427062592e-05,0.005707321037677865,1.0,0.9999554694772426
