,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.7125651515052788,0.7125651515052788,0.21156894992792916,0.21156894992792916,2.039215451944643
DeconRNASeq_BPRNACanProMet_B,-0.6986453653138274,0.6986453653138274,0.20743600216655544,0.41900495209448463,0.4972584513001136
DeconRNASeq_BPRNACanProMet_NK,-0.38185568496819516,0.38185568496819516,0.11337743099289452,0.5323823830873792,0.6825935546081456
DeconRNASeq_BPRNACanProMet_M0,0.3409732652356645,0.3409732652356645,0.10123896113501193,0.6336213442223911,1.4063156428422916
DeconRNASeq_BPRNACanProMet_Neu,-0.32340364048116566,0.32340364048116566,0.09602233350161646,0.7296436777240076,0.7236816881820036
DeconRNASeq_BPRNACanProMet_CD4,0.3004638869808708,0.3004638869808708,0.08921125166662867,0.8188549293906363,1.3504851347641338
DeconRNASeq_BPRNACanProMet_CD8,0.27270572034438356,0.27270572034438356,0.08096952646465945,0.8998244558552958,1.3135136475998168
DeconRNASeq_BPRNACanProMet_cancer,-0.17560652905447188,0.17560652905447188,0.05213963786196716,0.951964093717263,0.8389480200735899
DeconRNASeq_BPRNACanProMet_Mono,0.16178514309265168,0.16178514309265168,0.0480359062827373,1.0000000000000002,1.1756076267650386
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0000000000000002,1.0
