,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.295814375285256,0.295814375285256,0.4201080851324554,0.4201080851324554,1.3442206131041672
DeconRNASeq_BPRNACanProMet_M0,0.1926770766303395,0.1926770766303395,0.27363510523799,0.6937431903704454,1.2124911885530338
DeconRNASeq_BPRNACanProMet_B,-0.11200542531370401,0.11200542531370401,0.1590672688154913,0.8528104591859367,0.8940394070429527
DeconRNASeq_BPRNACanProMet_CD4,0.07466675469792029,0.07466675469792029,0.10603983430132347,0.9588502934872601,1.077525010899343
DeconRNASeq_BPRNACanProMet_Mono,-0.028166796897883865,0.028166796897883865,0.04000177171131061,0.9988520651985707,0.9722261889638821
DeconRNASeq_BPRNACanProMet_cancer,-0.0007426343798373205,0.0007426343798373205,0.0010546705411666833,0.9999067357397374,0.9992576413048252
DeconRNASeq_BPRNACanProMet_NK,-6.567097816579255e-05,6.567097816579255e-05,9.32642602625454e-05,1.0,0.9999343311781257
DeconRNASeq_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Neu,0.0,0.0,0.0,1.0,1.0
