,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan_B,-0.18866783271068455,0.18866783271068455,0.5459777485839248,0.5459777485839248,0.828061515966808
DeconRNASeq_BPRNACan_M2,0.1337937087978672,0.1337937087978672,0.38717987509916385,0.9331576236830886,1.1431569720928463
DeconRNASeq_BPRNACan_M0,0.023098022411448402,0.023098022411448402,0.06684237631691126,0.9999999999999999,1.0233668475171125
DeconRNASeq_BPRNACan_cancer,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_CD4,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_CD8,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_M1,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_Mono,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_Neu,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_BPRNACan_NK,0.0,0.0,0.0,0.9999999999999999,1.0
