,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.6293395539024874,0.6293395539024874,0.24288479564829982,0.24288479564829982,1.8763709280910696
EpiDISH_BPRNACan_M0,-0.4462902254505817,0.4462902254505817,0.1722394684018124,0.4151242640501122,0.6399980013969369
EpiDISH_BPRNACan_NK,0.34180146274014855,0.34180146274014855,0.1319134923510531,0.5470377564011653,1.4074808323851449
EpiDISH_BPRNACan_M1,0.33019536025214585,0.33019536025214585,0.12743427947846042,0.6744720358796257,1.3912398948933986
EpiDISH_BPRNACan_B,-0.2865357984956425,0.2865357984956425,0.11058448246575635,0.785056518345382,0.7508601983844188
EpiDISH_BPRNACan_CD4,-0.2322471479634001,0.2322471479634001,0.08963253735316815,0.8746890556985502,0.7927501725026409
EpiDISH_BPRNACan_CD8,0.09209503858472806,0.09209503858472806,0.035542791626823174,0.9102318473253733,1.0964690239933759
EpiDISH_BPRNACan_Mono,0.08867037639159231,0.08867037639159231,0.03422109116832455,0.9444529384936978,1.0927204105121355
EpiDISH_BPRNACan_cancer,0.07563801930795336,0.07563801930795336,0.02919143528947958,0.9736443737831774,1.0785720812177142
EpiDISH_BPRNACan_Neu,-0.0682901455475765,0.0682901455475765,0.02635562621682249,0.9999999999999999,0.9339894413818222
