,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_HNSCC_Macrophages,0.20476431454816146,0.20476431454816146,0.6857521339062628,0.6857521339062628,1.2272357892539758
EpiDISH_CBSX_HNSCC_T.cells.CD4,-0.08516486633707404,0.08516486633707404,0.2852156585651245,0.9709677924713873,0.9183608651278841
EpiDISH_CBSX_HNSCC_CAFs,0.00866896328933474,0.00866896328933474,0.029032207528612703,1.0,1.0087066475674193
EpiDISH_CBSX_HNSCC_B.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Dendritic.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Mast.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Myocytes,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Endothelial.cells,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_HNSCC_Malignant.cells,0.0,0.0,0.0,1.0,1.0
