,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_M2,0.17419260179519128,0.17419260179519128,0.36550424356937533,0.36550424356937533,1.1902847947329585
DeconRNASeq_BPRNACanProMet_Neu,-0.16801478491864716,0.16801478491864716,0.3525414755694676,0.718045719138843,0.8453413362893789
DeconRNASeq_BPRNACanProMet_CD4,0.07373992135269278,0.07373992135269278,0.1547267444031325,0.8727724635419755,1.0765267874537705
DeconRNASeq_BPRNACanProMet_CD8,0.06063430448628793,0.06063430448628793,0.12722753645802454,1.0,1.062510287886526
DeconRNASeq_BPRNACanProMet_B,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M0,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_NK,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
