,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_Neu,-1.8383488896574034,1.8383488896574034,0.157619985539614,0.157619985539614,0.15907986780222752
DeconRNASeq_BPRNACanProMet_B,-1.5744357729440512,1.5744357729440512,0.1349920818407545,0.2926120673803685,0.20712438490001103
DeconRNASeq_BPRNACanProMet_NK,1.4570929631588205,1.4570929631588205,0.1249311124102061,0.4175431797905746,4.293460122279205
DeconRNASeq_BPRNACanProMet_M0,1.1381151445208608,1.1381151445208608,0.09758196261386763,0.5151251424044422,3.12088040941705
DeconRNASeq_BPRNACanProMet_Mono,-1.0407941869819035,1.0407941869819035,0.08923766626930892,0.6043628086737511,0.353174084289932
DeconRNASeq_BPRNACanProMet_M1,1.0363937222340784,1.0363937222340784,0.08886037053734966,0.6932231792111008,2.819032447164563
DeconRNASeq_BPRNACanProMet_CD4,-0.9951972392113769,0.9951972392113769,0.0853281851644571,0.7785513643755578,0.369650527774689
DeconRNASeq_BPRNACanProMet_CD8,0.966664641400808,0.966664641400808,0.08288180097720545,0.8614331653527633,2.629160625378611
DeconRNASeq_BPRNACanProMet_cancer,-0.6952161470584888,0.6952161470584888,0.05960781419825407,0.9210409795510174,0.4989665861686642
TMB,-0.5094612782234047,0.5094612782234047,0.04368119662069769,0.9647221761717151,0.6008191660112306
DeconRNASeq_BPRNACanProMet_M2,0.4114513019540757,0.4114513019540757,0.03527782382828476,0.9999999999999998,1.5090062203648817
