,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Myocytes,-1.1662280963312364,1.1662280963312364,0.3513968926463648,0.3513968926463648,0.311539826083604
DeconRNASeq_CBSX_HNSCC_Mast.cells,0.7547870650017636,0.7547870650017636,0.2274253467959307,0.5788222394422955,2.1271585286302517
DeconRNASeq_CBSX_HNSCC_B.cells,0.45594036107264446,0.45594036107264446,0.1373796657935119,0.7162019052358074,1.577656252234098
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.45379800863346975,0.45379800863346975,0.1367341522850931,0.8529360575209005,1.5742799743938127
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.23485500653714733,0.23485500653714733,0.07076430398068163,0.9237003615015822,1.2647253785258323
DeconRNASeq_CBSX_HNSCC_Macrophages,-0.22872046071479468,0.22872046071479468,0.0689159002708475,0.9926162617724297,0.7955508901521146
AAGE,-0.022279251035985773,0.022279251035985773,0.006712974596617953,0.9993292363690476,0.9779670985907237
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,-0.0022261534145125448,0.0022261534145125448,0.0006707636309523638,0.9999999999999999,0.9977763226273094
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_HNSCC_CAFs,0.0,0.0,0.0,0.9999999999999999,1.0
