,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_M0,-0.7837493114351521,0.7837493114351521,0.24510228451244617,0.24510228451244617,0.45669052236584295
EpiDISH_BPRNACan3DProMet_NK,0.5333986766411286,0.5333986766411286,0.1668100147498164,0.4119122992622626,1.704716253482333
EpiDISH_BPRNACan3DProMet_B,-0.43905254155710177,0.43905254155710177,0.13730510430635995,0.5492174035686226,0.6446469079876481
EpiDISH_BPRNACan3DProMet_Neu,-0.3917322937624249,0.3917322937624249,0.12250662133617109,0.6717240249047937,0.6758850283815675
EpiDISH_BPRNACan3DProMet_CD8,0.3756592725949799,0.3756592725949799,0.11748009799550767,0.7892041229003013,1.4559509668522808
EpiDISH_BPRNACan3DProMet_M2,0.27447954258687285,0.27447954258687285,0.08583811425209809,0.8750422371523994,1.3158456549955757
AAGE,0.1581689901860964,0.1581689901860964,0.04946426142646322,0.9245064985788626,1.1713641270247015
EpiDISH_BPRNACan3DProMet_cancer,0.1375429570730172,0.1375429570730172,0.04301387255506787,0.9675203711339304,1.1474509960496069
EpiDISH_BPRNACan3DProMet_Mono,-0.0901084913210462,0.0901084913210462,0.02817967015028854,0.995700041284219,0.9138320370480509
EpiDISH_BPRNACan3DProMet_CD4,-0.013749727748954126,0.013749727748954126,0.00429995871578086,0.9999999999999998,0.9863443680002932
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,0.9999999999999998,1.0
