,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACanProMet_NK,1.120736714850556,1.120736714850556,0.1972402366170658,0.1972402366170658,3.067112958826568
EpiDISH_BPRNACanProMet_M0,-0.9860821672079563,0.9860821672079563,0.17354216865278763,0.3707824052698534,0.3730353218369498
EpiDISH_BPRNACanProMet_B,-0.8380163173821913,0.8380163173821913,0.1474838242909407,0.518266229560794,0.4325677500419982
EpiDISH_BPRNACanProMet_Neu,-0.7579281972498353,0.7579281972498353,0.1333889886745058,0.6516552182352998,0.46863634399094584
EpiDISH_BPRNACanProMet_CD8,0.6125727273259864,0.6125727273259864,0.10780764838158274,0.7594628666168826,1.8451724229991249
EpiDISH_BPRNACanProMet_cancer,0.5227945246112125,0.5227945246112125,0.09200743972251496,0.8514703063393976,1.6867346912712184
EpiDISH_BPRNACanProMet_M2,0.35132646095923276,0.35132646095923276,0.06183050253571429,0.9133008088751119,1.4209511352708952
AAGE,0.33309967037207777,0.33309967037207777,0.05862274067644519,0.9719235495515571,1.3952863602502
EpiDISH_BPRNACanProMet_M1,0.07066879308223722,0.07066879308223722,0.012437113270480823,0.9843606628220379,1.0732257072179376
EpiDISH_BPRNACanProMet_Mono,-0.06536932021385711,0.06536932021385711,0.011504450613271102,0.995865113435309,0.9367214493203561
EpiDISH_BPRNACanProMet_CD4,0.02349479631678026,0.02349479631678026,0.004134886564691011,1.0,1.023772973342526
