,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M0,-0.12708400004042963,0.12708400004042963,0.6240678827560573,0.6240678827560573,0.8806596940401954
EpiDISH_BPRNACan_M2,0.04346256015549539,0.04346256015549539,0.2134303916053073,0.8374982743613646,1.0444208906242705
EpiDISH_BPRNACan_Neu,-0.027607517870276283,0.027607517870276283,0.13557147414286796,0.9730697485042326,0.9727700867625992
EpiDISH_BPRNACan_B,-0.005484025338818306,0.005484025338818306,0.0269302514957676,1.0000000000000002,0.9945309844775344
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_CD8,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_M1,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_NK,0.0,0.0,0.0,1.0000000000000002,1.0
AAGE,0.0,0.0,0.0,1.0000000000000002,1.0
