,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_T.cells.follicular.helper,-0.9415020632044495,0.9415020632044495,0.15439247578730245,0.15439247578730245,0.39004152810590587
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.6353005989458556,0.6353005989458556,0.10417994412733136,0.2585724199146338,1.8875894635892116
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.5869694164294678,0.5869694164294678,0.09625434181793663,0.35482676173257044,1.7985295536910697
EpiDISH_CBSX_LM22_Neutrophils,-0.5316183580889886,0.5316183580889886,0.08717758323331071,0.44200434496588115,0.5876531664514206
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.49048436208690616,0.49048436208690616,0.08043221354163811,0.5224365585075192,1.6331070435531905
EpiDISH_CBSX_LM22_B.cells.memory,-0.46777034971992576,0.46777034971992576,0.0767074499522035,0.5991440084597227,0.6263973594699965
EpiDISH_CBSX_LM22_Macrophages.M1,-0.3422635274472904,0.3422635274472904,0.05612617904885838,0.6552701875085811,0.7101610331236112
EpiDISH_CBSX_LM22_NK.cells.resting,-0.3362122342263654,0.3362122342263654,0.05513385605923722,0.7104040435678184,0.7144714544274284
EpiDISH_CBSX_LM22_B.cells.naive,0.33530128852456986,0.33530128852456986,0.0549844743768123,0.7653885179446307,1.398361632073802
EpiDISH_CBSX_LM22_Macrophages.M0,0.2591295684487273,0.2591295684487273,0.04249343382883963,0.8078819517734703,1.2958016889662674
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,-0.22066183221666338,0.22066183221666338,0.03618529148171918,0.8440672432551896,0.8019878408891382
EpiDISH_CBSX_LM22_Mast.cells.resting,0.1912733065831944,0.1912733065831944,0.03136600599141795,0.8754332492466075,1.2107903238308975
EpiDISH_CBSX_LM22_Macrophages.M2,0.15027579173752928,0.15027579173752928,0.024643017199863473,0.900076266446471,1.1621547112020536
EpiDISH_CBSX_LM22_Mast.cells.activated,0.14542754176825923,0.14542754176825923,0.023847975590030303,0.9239242420365013,1.1565339311425025
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.1357255422369578,0.1357255422369578,0.022256990518126536,0.9461812325546278,0.873082223802464
EpiDISH_CBSX_LM22_NK.cells.activated,0.08204091023565233,0.08204091023565233,0.013453501316837417,0.9596347338714653,1.085500216990867
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,-0.07998412239828846,0.07998412239828846,0.01311621839543944,0.9727509522669047,0.9231310033766758
EpiDISH_CBSX_LM22_Plasma.cells,0.06940457938612214,0.06940457938612214,0.011381329113532561,0.9841322813804372,1.0718697778526785
SEX,-0.06064430056409832,0.06064430056409832,0.009944772372152773,0.9940770537525899,0.9411579495961994
EpiDISH_CBSX_LM22_Monocytes,-0.03611876863654996,0.03611876863654996,0.005922946247410162,1.0,0.9645257312740383
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Eosinophils,0.0,0.0,0.0,1.0,1.0
