,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_Neu,-1.354000983358551,1.354000983358551,0.2943281119873525,0.2943281119873525,0.2582051168545923
DeconRNASeq_BPRNACan3DProMet_M2,0.9697445932856938,0.9697445932856938,0.21079976954207194,0.5051278815294244,2.6372707966599163
DeconRNASeq_BPRNACan3DProMet_CD8,0.498635268470334,0.498635268470334,0.10839163260808071,0.6135195141375052,1.6464727434653676
DeconRNASeq_BPRNACan3DProMet_NK,-0.492347707276748,0.492347707276748,0.10702486401791118,0.7205443781554164,0.6111898137358845
DeconRNASeq_BPRNACan3DProMet_CD4,0.49142714929571324,0.49142714929571324,0.10682475626624562,0.827369134421662,1.6346474420043449
AAGE,-0.4166061957684044,0.4166061957684044,0.09056043278387879,0.9179295672055409,0.6592804962788796
DeconRNASeq_BPRNACan3DProMet_M0,0.14854875283346844,0.14854875283346844,0.032291020831535594,0.9502205880370764,1.160149356964104
DeconRNASeq_BPRNACan3DProMet_M1,-0.14403628500638205,0.14403628500638205,0.031310115978235124,0.9815307040153115,0.8658563298867483
DeconRNASeq_BPRNACan3DProMet_Mono,-0.08496451377462426,0.08496451377462426,0.018469295984688647,1.0000000000000002,0.9185448795137273
DeconRNASeq_BPRNACan3DProMet_B,0.0,0.0,0.0,1.0000000000000002,1.0
DeconRNASeq_BPRNACan3DProMet_cancer,0.0,0.0,0.0,1.0000000000000002,1.0
