,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACan3DProMet_M2,0.7431210855317029,0.7431210855317029,0.2281796150115418,0.2281796150115418,2.1024873275700044
DeconRNASeq_BPRNACan3DProMet_CD4,0.7390720635118667,0.7390720635118667,0.22693633944898872,0.45511595446053055,2.0939915215441784
DeconRNASeq_BPRNACan3DProMet_Neu,-0.5295422963291534,0.5295422963291534,0.16259901604360968,0.6177149705041403,0.5888744379972706
DeconRNASeq_BPRNACan3DProMet_M1,-0.3611494837300783,0.3611494837300783,0.11089303178658186,0.7286080022907221,0.6968748192331399
DeconRNASeq_BPRNACan3DProMet_NK,-0.3387751487109084,0.3387751487109084,0.10402286318255072,0.8326308654732728,0.7126426696985548
DeconRNASeq_BPRNACan3DProMet_B,-0.32207807990246184,0.32207807990246184,0.09889593191023115,0.931526797383504,0.724641608174881
SEX,-0.1095945095719905,0.1095945095719905,0.033651626213274326,0.9651784235967783,0.896197461121069
DeconRNASeq_BPRNACan3DProMet_cancer,0.06032044476329794,0.06032044476329794,0.018521740442294453,0.9837001640390728,1.0621768610292635
DeconRNASeq_BPRNACan3DProMet_M0,0.03980429298378975,0.03980429298378975,0.012222137718443575,0.9959223017575164,1.040607100152201
DeconRNASeq_BPRNACan3DProMet_Mono,-0.013279992361595666,0.013279992361595666,0.0040776982424835795,1.0,0.9868077976902058
DeconRNASeq_BPRNACan3DProMet_CD8,0.0,0.0,0.0,1.0,1.0
