,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_BPRNACanProMet_Neu,-0.5710688832008229,0.5710688832008229,0.2634630814302306,0.2634630814302306,0.5649212810030008
DeconRNASeq_BPRNACanProMet_M2,0.5008311763324165,0.5008311763324165,0.23105885975311266,0.49452194118334325,1.6500922184698281
DeconRNASeq_BPRNACanProMet_CD4,0.41021459426466145,0.41021459426466145,0.1892528278670249,0.6837747690503682,1.5071411742649163
DeconRNASeq_BPRNACanProMet_B,-0.286181594226761,0.286181594226761,0.1320301050916894,0.8158048741420576,0.7511262033792909
DeconRNASeq_BPRNACanProMet_M0,0.23530474307760493,0.23530474307760493,0.10855802953034227,0.9243629036723999,1.2652942996649226
DeconRNASeq_BPRNACanProMet_NK,-0.16394703915961803,0.16394703915961803,0.07563709632760009,1.0,0.8487869731612713
DeconRNASeq_BPRNACanProMet_cancer,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_M1,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_BPRNACanProMet_Mono,0.0,0.0,0.0,1.0,1.0
AAGE,0.0,0.0,0.0,1.0,1.0
