,coef,abs coef,% total,cum % total,coef OR
TMB,-3.4566225820789813,3.4566225820789813,0.24625300688281773,0.24625300688281773,0.03153609292073356
DeconRNASeq_BPRNACan_B,-2.8556478954559137,2.8556478954559137,0.2034390113923468,0.44969201827516453,0.05751854304337697
DeconRNASeq_BPRNACan_Neu,2.7313282800489054,2.7313282800489054,0.19458236639233686,0.6442743846675014,15.353266919938761
DeconRNASeq_BPRNACan_CD8,-1.9770779179956113,1.9770779179956113,0.14084886926105136,0.7851232539285528,0.13847327697562217
DeconRNASeq_BPRNACan_CD4,0.8690188427506562,0.8690188427506562,0.061909710413471444,0.8470329643420242,2.384570067164341
DeconRNASeq_BPRNACan_M0,-0.8340363093055926,0.8340363093055926,0.059417522202386955,0.9064504865444112,0.4342928037675846
DeconRNASeq_BPRNACan_NK,-0.4432406261716999,0.4432406261716999,0.031576874355127404,0.9380273608995386,0.641952717876552
DeconRNASeq_BPRNACan_cancer,0.4271222138979907,0.4271222138979907,0.03042858367706601,0.9684559445766047,1.532839984626572
DeconRNASeq_BPRNACan_M2,0.24872983721499656,0.24872983721499656,0.01771974488427593,0.9861756894608806,1.282395530717844
DeconRNASeq_BPRNACan_Mono,-0.1214517168472798,0.1214517168472798,0.008652333239903555,0.9948280227007842,0.8856338135092332
DeconRNASeq_BPRNACan_M1,0.07259839687958168,0.07259839687958168,0.0051719772992157905,1.0,1.075298606912373
