,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_HNSCC_Mast.cells,2.8050847460660426,2.8050847460660426,0.2981495538647296,0.2981495538647296,16.52847657007843
DeconRNASeq_CBSX_HNSCC_Myocytes,-2.456357983936561,2.456357983936561,0.2610837473163135,0.5592333011810431,0.08574667373622441
DeconRNASeq_CBSX_HNSCC_B.cells,0.9704134983652218,0.9704134983652218,0.10314424617925268,0.6623775473602957,2.639035470625785
DeconRNASeq_CBSX_HNSCC_T.cells.CD8,-0.7886937986711372,0.7886937986711372,0.08382944741311643,0.7462069947734122,0.4544379952920303
DeconRNASeq_CBSX_HNSCC_Endothelial.cells,0.6711354282088171,0.6711354282088171,0.07133428991188202,0.8175412846852943,1.9564574769920717
DeconRNASeq_CBSX_HNSCC_Malignant.cells,0.6627710547376506,0.6627710547376506,0.07044524931434439,0.8879865339996387,1.940161185120754
DeconRNASeq_CBSX_HNSCC_Macrophages,-0.3802038634279597,0.3802038634279597,0.040411475060662526,0.9283980090603012,0.6837220090910006
DeconRNASeq_CBSX_HNSCC_T.cells.CD4,0.24997188539551335,0.24997188539551335,0.026569252930386478,0.9549672619906877,1.2839893173284624
DeconRNASeq_CBSX_HNSCC_Dendritic.cells,-0.22191793489827413,0.22191793489827413,0.023587427573193456,0.9785546895638811,0.8009810942325356
DeconRNASeq_CBSX_HNSCC_CAFs,-0.1915595626923911,0.1915595626923911,0.020360667618102127,0.9989153571819833,0.8256704444871309
AAGE,0.010204660662111646,0.010204660662111646,0.0010846428180169892,1.0000000000000002,1.0102569057750466
