,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_LM22_Mast.cells.resting,1.0499957618174858,1.0499957618174858,0.199610243376035,0.199610243376035,2.8576390068418283
DeconRNASeq_CBSX_LM22_T.cells.follicular.helper,-0.7551942316470537,0.7551942316470537,0.14356677413089322,0.3431770175069282,0.4699193326599266
DeconRNASeq_CBSX_LM22_T.cells.gamma.delta,0.45970750201144145,0.45970750201144145,0.08739304451996768,0.43057006202689585,1.5836107142963196
DeconRNASeq_CBSX_LM22_Neutrophils,0.36495679401272696,0.36495679401272696,0.06938038906797112,0.49995045109486697,1.44045177066384
DeconRNASeq_CBSX_LM22_Eosinophils,-0.36472438289144093,0.36472438289144093,0.06933620637488777,0.5692866574697547,0.6943880097213394
DeconRNASeq_CBSX_LM22_Monocytes,-0.3627421309829213,0.3627421309829213,0.06895936886727029,0.638246026337025,0.69576582681799
DeconRNASeq_CBSX_LM22_Macrophages.M0,-0.25887132907112653,0.25887132907112653,0.049212931021284705,0.6874589573583096,0.7719223406185097
DeconRNASeq_CBSX_LM22_B.cells.memory,0.2375691691825483,0.2375691691825483,0.04516326770413559,0.7326222250624452,1.268162711535201
DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.,-0.2372331476249122,0.2372331476249122,0.04509938807019951,0.7777216131326448,0.7888073580149868
DeconRNASeq_CBSX_LM22_T.cells.CD4.naive,-0.23257866952666142,0.23257866952666142,0.04421454496914539,0.8219361581017901,0.7924874022855805
DeconRNASeq_CBSX_LM22_Dendritic.cells.resting,-0.22273166326790755,0.22273166326790755,0.04234257235048176,0.8642787304522719,0.8003295783070647
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.activated,0.20793393361886556,0.20793393361886556,0.039529438694070405,0.9038081691463423,1.2311318304372705
DeconRNASeq_CBSX_LM22_T.cells.CD4.memory.resting,0.18670775387763103,0.18670775387763103,0.03549421964065506,0.9393023887869973,1.2052749966308163
DeconRNASeq_CBSX_LM22_T.cells.CD8,0.16240237469410337,0.16240237469410337,0.030873627033906902,0.9701760158209043,1.1763334729277362
DeconRNASeq_CBSX_LM22_Plasma.cells,0.15400113945834787,0.15400113945834787,0.029276503815841976,0.9994525196367463,1.1664922159469755
DeconRNASeq_CBSX_LM22_Macrophages.M2,0.0028798725524905255,0.0028798725524905255,0.0005474803632536184,0.9999999999999999,1.002884023369101
DeconRNASeq_CBSX_LM22_B.cells.naive,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_LM22_Mast.cells.activated,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_LM22_NK.cells.activated,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_LM22_Dendritic.cells.activated,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_LM22_Macrophages.M1,0.0,0.0,0.0,0.9999999999999999,1.0
DeconRNASeq_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,0.9999999999999999,1.0
AAGE,0.0,0.0,0.0,0.9999999999999999,1.0
