,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan3DProMet_NK,0.6587619217858274,0.6587619217858274,0.33146184077244617,0.33146184077244617,1.932398392413365
EpiDISH_BPRNACan3DProMet_M2,0.5063628173653953,0.5063628173653953,0.2547808942685412,0.5862427350409873,1.6592452285373063
TMB,-0.3197722522443275,0.3197722522443275,0.16089621432508258,0.74713894936607,0.7263144347209248
EpiDISH_BPRNACan3DProMet_B,-0.3102915170228347,0.3102915170228347,0.15612589921659362,0.9032648485826635,0.7332331751131341
EpiDISH_BPRNACan3DProMet_CD4,-0.11937741380395045,0.11937741380395045,0.060065793145487684,0.9633306417281512,0.8874727930649289
EpiDISH_BPRNACan3DProMet_Neu,0.07287830439100157,0.07287830439100157,0.036669358271848626,0.9999999999999998,1.0755996331972608
EpiDISH_BPRNACan3DProMet_cancer,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan3DProMet_CD8,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan3DProMet_M0,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan3DProMet_M1,0.0,0.0,0.0,0.9999999999999998,1.0
EpiDISH_BPRNACan3DProMet_Mono,0.0,0.0,0.0,0.9999999999999998,1.0
