,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M0,-0.3314770253803953,0.3314770253803953,0.5637106389214038,0.5637106389214038,0.7178626486485621
EpiDISH_BPRNACan_M2,0.21653234184351008,0.21653234184351008,0.3682354293715465,0.9319460682929503,1.2417632456169634
EpiDISH_BPRNACan_CD8,-0.04001754320418036,0.04001754320418036,0.06805393170704967,1.0,0.9607725839748652
EpiDISH_BPRNACan_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_NK,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
