,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M2,0.572292408351456,0.572292408351456,0.24759765664537203,0.24759765664537203,1.7723252913844072
EpiDISH_BPRNACan_NK,0.5164088917520123,0.5164088917520123,0.2234201076281087,0.47101776427348074,1.6759981391250278
EpiDISH_BPRNACan_CD8,0.34870684123667856,0.34870684123667856,0.1508651792099065,0.6218829434833872,1.4172336549704156
TMB,-0.3398656252928243,0.3398656252928243,0.1470400990277321,0.7689230425111193,0.7118659731176575
EpiDISH_BPRNACan_B,-0.2637924242272712,0.2637924242272712,0.1141276472068163,0.8830506897179357,0.7681329689038878
EpiDISH_BPRNACan_M0,-0.24295798553594264,0.24295798553594264,0.10511379673070328,0.988164486448639,0.7843044652110968
EpiDISH_BPRNACan_M1,0.02735637584844412,0.02735637584844412,0.011835513551361235,1.0000000000000002,1.0277339970833934
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0000000000000002,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,1.0000000000000002,1.0
