,coef,abs coef,% total,cum % total,coef OR
EpiDISH_CBSX_LM22_T.cells.CD8,-0.882871100933401,0.882871100933401,0.17714262011860846,0.17714262011860846,0.41359373601526267
EpiDISH_CBSX_LM22_Plasma.cells,0.7155338860265675,0.7155338860265675,0.14356744401350316,0.3207100641321116,2.0452783363474123
EpiDISH_CBSX_LM22_B.cells.naive,-0.6791041644991881,0.6791041644991881,0.13625804594312949,0.4569681100752411,0.507071041198832
EpiDISH_CBSX_LM22_NK.cells.activated,0.6498086861460235,0.6498086861460235,0.1303800895940984,0.5873481996693395,1.9151743945685586
TMB,-0.6045588111460776,0.6045588111460776,0.1213009823393072,0.7086491820086467,0.5463154017440112
EpiDISH_CBSX_LM22_Mast.cells.activated,0.4386784767622086,0.4386784767622086,0.08801812029087998,0.7966673022995266,1.550656635085843
EpiDISH_CBSX_LM22_T.cells.CD4.naive,-0.25840196679256106,0.25840196679256106,0.05184675474487964,0.8485140570444063,0.7722847368880944
EpiDISH_CBSX_LM22_Macrophages.M2,-0.25667586948208704,0.25667586948208704,0.051500424006639615,0.9000144810510459,0.7736189266347654
EpiDISH_CBSX_LM22_Macrophages.M0,0.22072022783555292,0.22072022783555292,0.044286147129098834,0.9443006281801447,1.2469745129991174
EpiDISH_CBSX_LM22_Dendritic.cells.activated,0.09938072134994755,0.09938072134994755,0.019940126424565156,0.9642407546047098,1.1044867211975502
EpiDISH_CBSX_LM22_Eosinophils,0.08561361645381242,0.08561361645381242,0.0171778420659869,0.9814185966706968,1.0893853264106805
EpiDISH_CBSX_LM22_Macrophages.M1,-0.04991541707845324,0.04991541707845324,0.01001521938620726,0.9914338160569041,0.9513098856672718
EpiDISH_CBSX_LM22_Dendritic.cells.resting,0.039835855447608454,0.039835855447608454,0.007992817752438605,0.9994266338093427,1.0406399447944752
EpiDISH_CBSX_LM22_Mast.cells.resting,0.002857632113856315,0.002857632113856315,0.0005733661906572826,1.0,1.002861719036552
EpiDISH_CBSX_LM22_T.cells.follicular.helper,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.regulatory..Tregs.,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.gamma.delta,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_NK.cells.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_B.cells.memory,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Monocytes,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.resting,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_T.cells.CD4.memory.activated,0.0,0.0,0.0,1.0,1.0
EpiDISH_CBSX_LM22_Neutrophils,0.0,0.0,0.0,1.0,1.0
